x1,x2,x3,x4,y1,y2,y3,y4,z1,z2,z3,z4
-8,-16,4,-5,45,41,50,47,23,-4,-24,6
-8,-18,6,-6,45,41,50,47,19,-4,-25,4
-8,-17,6,-4,44,40,51,48,20,-6,-25,4
-8,-18,3,-6,47,42,51,49,14,-15,-41,-5
-14,-90,-127,4,141,150,188,293,150,3,-250,65
94,108,80,-1,-51,94,537,65,221,140,137,562
69,58,-197,-46,-15,127,685,262,250,164,-47,537
57,17,-331,-48,24,152,680,414,254,150,-270,412
-139,-167,-617,-398,218,117,49,713,152,89,-301,-953
-362,-102,-90,-250,-112,-47,-54,-300,-83,61,65,-117
-167,-54,-24,-60,-179,-51,-21,-140,-48,36,45,35
-123,-49,-13,-24,-219,-66,-22,-122,-66,33,41,45
-158,-60,-18,-29,-219,-71,-35,-151,-108,22,39,22
-172,-66,-19,-29,-231,-76,-39,-163,-134,21,35,11
-953,-252,-144,-147,-84,-104,-225,-877,-760,17,-21,-1021
111,146,149,-25,-87,69,394,3,225,142,301,541
69,146,198,-44,-114,-42,78,-135,145,126,457,391
79,142,214,-27,-97,3,227,-102,177,139,428,484
49,4,-336,-32,40,168,726,438,252,150,-438,356
-741,-366,-461,-302,400,-40,-365,-559,-517,49,-81,-2003
-1014,-304,-86,146,-441,-245,-247,-822,-1555,5,72,-390
-718,-223,-66,54,-457,-204,-180,-622,-1055,21,75,-255
-805,-264,-62,135,-463,-243,-223,-700,-1374,-18,59,-327
-787,-263,-66,125,-434,-237,-222,-696,-1358,-19,54,-349
23,-148,-413,94,127,316,515,603,338,125,-703,305
77,174,233,-72,-131,-29,166,-145,174,165,577,460
62,142,201,-58,-104,-20,171,-117,164,160,527,425
59,116,113,-63,-76,33,402,-17,191,173,411,467
-139,-160,-832,-691,228,124,29,1104,257,143,-218,-1421
-719,-202,-189,-469,-15,-62,-155,-723,-314,69,59,-591
-261,-68,-19,-39,-334,-84,-37,-226,-120,54,69,64
-273,-63,-10,-18,-429,-99,-39,-241,-159,66,81,106
-320,-75,-14,-11,-473,-114,-50,-278,-236,65,85,90
-336,-81,-16,-15,-454,-115,-56,-293,-253,58,78,67
-705,-376,-360,-169,554,73,-302,-80,-61,-86,-540,-1729
91,131,228,27,-87,-13,95,-123,120,76,334,376
79,124,234,23,-90,-36,20,-156,95,68,348,331
76,131,236,4,-94,-23,85,-147,123,98,397,382
106,81,-139,-29,-14,128,568,458,323,144,-163,568
-532,-152,-106,-220,-161,-77,-107,-464,-311,38,45,-265
-475,-147,-71,-102,-236,-99,-109,-414,-378,17,29,-211
-481,-154,-78,-110,-216,-99,-116,-430,-406,11,28,-254
-624,-190,-104,-135,-187,-101,-151,-560,-525,7,8,-450
-316,-293,-467,-308,455,143,-162,422,106,-40,-516,-1502
85,156,255,-15,-113,-35,67,-161,126,103,462,389
71,132,232,-7,-99,-40,31,-153,115,98,426,346
59,121,180,-39,-84,-5,197,-88,156,144,451,399
-114,-208,-993,-268,303,188,-3,1281,227,112,-652,-1822
-496,-146,-83,-129,-233,-97,-103,-417,-363,36,48,-181
-330,-106,-39,-39,-321,-104,-74,-292,-302,28,50,-45
-300,-102,-36,-43,-287,-97,-70,-272,-264,19,42,-49
-299,-101,-36,-43,-281,-98,-71,-274,-273,16,38,-54
-322,-105,-39,-47,-294,-98,-75,-292,-285,24,42,-63
132,-32,-284,41,25,250,539,436,336,117,-150,635
81,162,240,-36,-123,-39,87,-159,146,126,497,426
82,158,249,-25,-118,-42,69,-170,136,112,483,424
126,172,175,-39,-110,86,665,34,308,189,127,874
-696,-217,-165,-255,-72,-81,-154,-590,-432,45,35,-484
-301,-95,-41,-56,-286,-90,-58,-262,-226,44,55,-31
-255,-97,-33,-29,-279,-96,-66,-241,-263,15,35,-44
-269,-99,-35,-29,-278,-99,-71,-252,-277,11,30,-58
-816,-297,-167,-68,89,-98,-264,-708,-853,-66,-127,-1172
94,170,166,-73,-110,43,330,-27,233,171,407,518
63,156,205,-65,-131,-71,15,-171,127,133,538,370
82,175,293,-45,-138,-55,62,-213,146,134,604,464
21,-129,-1182,-51,249,331,122,1702,464,149,-1306,-1768
-705,-257,-104,25,-285,-170,-198,-575,-986,-14,15,-385
-524,-241,-67,89,-370,-198,-193,-486,-1060,-54,-3,-309
-772,-361,-73,272,-299,-296,-310,-736,-2029,-122,-12,-558
-924,-683,-232,730,887,-187,-623,-774,-1869,-314,-337,-1736
160,-86,-236,161,59,409,620,578,437,110,-696,692
26,142,86,-117,-134,-112,-19,-137,135,194,604,291
30,132,109,-99,-127,-113,-72,-157,110,160,585,276
31,196,144,-193,-176,-107,160,-165,218,302,1026,500
-918,-427,-293,64,316,-88,-332,-713,-983,-37,-95,-1121
-501,-220,-83,20,-217,-149,-176,-455,-790,-41,-11,-379
-484,-205,-88,-10,-202,-132,-160,-429,-663,-21,-2,-352
-534,-233,-103,-2,-144,-130,-189,-470,-802,-58,-46,-507
-301,-476,-507,369,729,229,-388,578,82,-173,-977,-1776
93,208,277,-88,-146,-23,218,-155,194,185,654,495
51,166,179,-95,-139,-86,13,-172,146,172,649,375
-69,-350,-1109,364,473,392,-298,1509,370,41,-1603,-1927
-660,-311,-143,63,-43,-164,-248,-574,-979,-42,-12,-608
-452,-218,-85,21,-157,-150,-184,-435,-755,-54,-12,-416
-437,-244,-100,42,-64,-149,-213,-426,-791,-93,-52,-523
-420,-263,-102,73,-16,-153,-233,-417,-843,-124,-79,-575
-369,-272,-117,73,66,-125,-237,-338,-746,-157,-136,-635
-362,-291,-118,103,95,-131,-256,-340,-804,-176,-151,-670
-358,-297,-117,117,103,-133,-263,-340,-825,-191,-164,-680
-331,-298,-132,103,159,-99,-255,-262,-713,-215,-230,-723
-236,-312,-132,152,250,-56,-258,-141,-638,-280,-325,-736
-131,-259,-107,126,254,16,-170,14,-402,-293,-392,-548
-35,-163,-39,103,213,83,-49,106,-189,-269,-372,-297
16,0,34,23,75,66,56,65,9,-63,-76,-8
0,-7,11,0,49,39,45,46,17,-21,-29,7
-4,-12,5,-5,43,32,44,43,19,-14,-18,8
-4,-14,5,-4,43,30,40,40,14,-17,-24,4
-6,-13,6,-4,48,42,50,48,21,-14,-28,5
-1,-6,17,2,57,53,51,52,17,-31,-43,0
-9,-13,12,-3,61,59,56,55,21,-25,-44,-2
2,-3,22,6,64,56,51,54,11,-42,-51,-4
-2,-11,12,0,57,51,52,53,15,-28,-41,0
-4,-15,3,-6,44,33,41,42,14,-15,-25,2
-5,-14,5,-3,47,37,46,46,16,-15,-27,4
-7,-19,2,-5,48,41,51,48,18,-13,-28,2
-8,-18,4,-5,50,46,53,50,18,-15,-35,0
-7,-17,5,-3,51,48,55,52,19,-17,-39,1
-7,-17,5,-2,53,47,56,53,19,-18,-39,1
-6,-16,7,-3,54,50,57,55,21,-19,-44,-1
-7,-16,6,-2,56,51,58,56,20,-19,-41,0
-8,-17,6,-3,56,52,58,58,22,-19,-45,0
