x1,x2,x3,x4,y1,y2,y3,y4,z1,z2,z3,z4
4,-16,4,0,51,37,40,56,0,-34,-42,-11
5,-15,6,2,52,36,39,56,0,-36,-44,-13
7,-14,8,4,52,36,40,56,-2,-36,-41,-14
6,-13,7,4,53,37,40,57,-2,-38,-43,-13
8,-12,9,5,54,37,40,58,-4,-43,-46,-13
10,-9,12,8,55,37,37,57,-8,-47,-51,-15
9,-10,12,7,55,39,39,58,-9,-49,-54,-15
11,-11,13,8,56,39,39,57,-7,-46,-53,-14
0,-9,12,-4,41,47,62,56,35,9,-7,24
0,-8,12,-6,41,47,64,57,36,14,-4,22
10,-6,14,8,55,38,41,56,-2,-41,-45,-9
10,-10,10,6,55,38,40,58,-5,-41,-46,-12
11,-9,15,9,56,39,40,57,-7,-48,-53,-17
7,-2,19,1,44,47,58,55,27,-4,-14,18
2,-4,16,-2,43,47,62,57,32,7,-8,20
11,-7,16,8,55,41,43,57,0,-43,-48,-10
12,-11,12,9,56,37,37,57,-9,-51,-54,-19
12,-10,15,9,56,37,38,56,-12,-49,-55,-19
11,-9,18,12,63,50,47,64,-1,-53,-63,-18
0,-10,12,-5,42,47,61,58,31,8,-9,19
1,-11,9,0,52,49,53,60,12,-29,-39,0
10,-9,12,8,54,37,39,56,-4,-44,-49,-13
9,-10,10,6,52,37,40,54,-2,-38,-44,-12
9,-10,9,6,51,35,39,55,1,-38,-40,-11
3,-10,11,-1,43,42,56,56,23,-9,-16,16
9,0,22,1,44,46,56,55,27,-7,-14,17
13,-4,17,9,54,41,41,57,-1,-46,-49,-11
15,-7,16,12,50,30,31,51,-17,-54,-50,-18
14,-7,14,10,50,29,30,52,-15,-49,-49,-17
13,-9,17,12,55,38,35,55,-17,-58,-59,-20
6,-2,17,0,42,43,56,54,25,-2,-13,18
0,-12,9,-3,46,47,57,58,17,-14,-31,6
18,-4,18,14,53,33,32,51,-22,-62,-56,-21
11,-13,12,9,54,33,34,53,-18,-55,-55,-22
2,-18,7,4,59,48,52,65,8,-32,-53,-8
0,-6,14,-4,42,49,65,58,41,15,-5,24
0,-6,15,-4,41,50,66,58,38,12,-3,25
13,-5,17,9,53,40,41,57,1,-38,-40,-7
9,-11,8,5,50,36,39,55,-1,-36,-41,-9
13,-9,12,6,52,35,39,54,-2,-44,-45,-13
11,-5,19,10,56,40,42,58,1,-42,-45,-7
4,-4,15,-1,39,41,55,53,27,0,-8,17
14,0,22,10,55,43,43,57,4,-43,-42,-7
12,-10,13,9,54,36,37,55,-9,-49,-51,-17
9,-11,11,7,54,38,39,58,-8,-47,-51,-17
12,-9,14,9,56,38,38,56,-6,-49,-54,-18
-2,-16,7,-5,43,45,59,56,31,3,-12,17
1,-6,13,-4,40,47,60,56,34,8,-8,22
9,-7,15,6,52,42,45,57,5,-34,-41,-2
6,-14,4,0,49,35,42,56,1,-29,-38,-6
5,-16,5,0,50,37,39,55,1,-34,-41,-11
5,-14,5,0,48,35,41,55,1,-28,-40,-9
6,-12,7,0,47,36,42,54,4,-31,-38,-6
6,-9,9,4,47,37,42,54,4,-29,-36,-5
5,-9,9,0,45,36,44,52,12,-20,-25,4
6,-7,12,0,45,39,45,54,6,-27,-34,-2
4,-10,8,0,44,36,45,52,8,-23,-32,0
4,-9,13,2,49,44,48,57,8,-29,-39,-2
1,-11,7,-2,45,40,47,55,9,-21,-31,0
0,-15,3,-3,42,33,45,53,8,-17,-26,1
0,-17,0,-6,40,33,43,52,12,-12,-21,2
-1,-18,-2,-8,40,33,45,53,14,-13,-22,3
-2,-19,-2,-8,41,33,44,53,12,-12,-21,2
-1,-17,0,-7,42,33,45,53,14,-14,-24,2
0,-15,1,-5,41,34,43,53,12,-15,-24,2
0,-15,-1,-11,31,22,38,43,22,0,-3,15
1,-15,0,-7,34,24,37,46,12,-9,-14,8
0,-14,0,-9,37,27,40,48,13,-11,-17,9
0,-16,0,-7,37,28,41,49,15,-8,-18,7
-1,-17,1,-7,40,34,46,54,13,-15,-24,0
4,-10,10,0,45,41,48,56,11,-21,-32,1
-1,-16,2,-6,42,34,47,54,14,-10,-24,1
0,-15,3,-6,43,39,49,55,16,-12,-27,0
2,-8,12,1,51,45,50,58,15,-24,-35,0
5,-7,16,1,50,47,52,58,13,-24,-37,2
5,-7,14,1,49,46,52,58,14,-24,-35,0
4,-9,12,0,48,44,51,58,14,-23,-35,0
1,-14,5,-2,44,39,50,55,15,-16,-27,2
0,-15,5,-4,42,37,47,55,14,-13,-28,4
2,-14,4,-2,40,34,47,53,13,-17,-27,2
0,-16,3,-7,41,35,47,54,15,-14,-22,6
-1,-17,1,-7,45,38,50,57,18,-15,-22,7
-2,-17,2,-6,46,42,50,56,20,-12,-23,8
-5,-19,0,-10,43,38,50,55,20,-7,-19,9
-4,-20,-1,-9,43,38,49,55,16,-14,-27,4
-5,-20,-2,-10,43,37,48,56,15,-15,-27,1
-4,-19,-3,-10,45,35,47,56,13,-17,-29,1
-4,-20,-1,-9,42,36,47,55,13,-15,-28,2
-4,-19,-2,-9,43,37,48,55,15,-14,-27,4
-4,-19,0,-9,41,37,50,56,12,-14,-28,2
-2,-18,0,-8,43,37,48,56,14,-14,-25,1
-2,-18,0,-7,42,36,48,56,12,-14,-29,1
-1,-18,0,-8,42,35,48,55,13,-16,-29,1
-2,-18,0,-7,41,36,48,56,15,-15,-26,2
0,-16,0,-5,42,35,46,55,12,-15,-25,1
1,-14,2,-6,41,34,46,53,14,-13,-24,2
2,-13,4,-6,38,31,43,49,11,-15,-21,4
6,-7,12,2,45,36,43,52,6,-28,-33,-1
10,-8,15,6,52,37,40,55,-7,-51,-50,-10
22,5,23,15,43,23,23,42,-11,-55,-36,-4
5,-12,10,3,51,40,44,56,1,-33,-40,-7
18,0,21,12,50,33,32,49,-11,-58,-46,-8
36,19,32,22,34,9,12,32,-26,-69,-37,-7
4,-15,8,3,50,36,41,54,-4,-41,-45,-12
36,18,30,21,31,6,11,31,-24,-62,-31,-5
-1,-20,-1,-5,47,36,44,56,4,-28,-36,-6
29,13,36,22,51,32,28,47,-19,-76,-52,-12
25,5,30,22,52,33,29,49,-18,-69,-58,-17
2,-17,6,0,49,38,44,56,0,-32,-43,-7
2,-14,6,0,49,40,46,56,4,-32,-40,-5
5,-13,9,1,50,40,45,56,2,-38,-44,-10
6,-9,12,3,50,42,46,55,4,-35,-44,-4
0,-10,9,-4,44,43,50,54,19,-10,-21,8
-1,-10,10,-6,44,46,53,55,22,-7,-22,8
-8,-19,5,-10,43,47,57,57,24,-2,-22,7
-8,-18,4,-10,43,48,58,55,24,0,-18,9
-8,-18,5,-10,43,47,59,56,25,1,-20,9
-7,-17,4,-9,43,45,59,56,25,-2,-21,9
-6,-18,6,-9,43,46,58,56,24,0,-19,9
-8,-18,5,-11,41,46,58,56,24,-1,-22,8
-7,-18,4,-10,42,45,58,55,19,-6,-24,3
-9,-19,4,-11,41,44,56,54,19,-4,-25,7
-8,-16,5,-9,41,44,56,54,17,-7,-27,3
0,-11,10,-1,44,43,52,54,10,-15,-33,0
-3,-14,7,-6,39,43,55,53,19,-5,-23,4
-1,-13,9,-6,38,42,53,52,15,-7,-24,2
-1,-13,8,-7,39,41,54,52,17,-7,-22,5
-3,-14,6,-8,40,45,57,55,21,-1,-19,8
-6,-18,4,-10,42,46,58,56,24,0,-18,9
-8,-17,4,-9,43,46,58,56,25,-1,-20,10
-6,-16,4,-9,43,45,58,56,24,-1,-18,10
-7,-16,4,-11,42,46,58,56,24,-1,-18,11
