x1,x2,x3,x4,y1,y2,y3,y4,z1,z2,z3,z4
-9,-16,5,-8,41,42,57,46,27,4,-18,12	
-9,-17,6,-8,41,43,59,46,27,4,-15,11
-9,-17,4,-7,43,42,58,47,29,2,-17,11
-9,-16,6,-7,42,43,59,47,30,4,-12,14
-9,-17,5,-8,42,44,59,48,29,6,-14,14
-9,-17,5,-8,41,42,59,47,30,7,-11,14
-9,-16,5,-8,42,44,61,47,29,8,-12,13
-8,-16,6,-9,40,43,58,47,29,7,-17,14
-9,-16,5,-8,42,43,59,46,29,5,-14,13
-20,-40,-27,-18,60,40,56,68,5,-25,-78,-50
-616,-415,-436,-89,569,-4,-464,-262,-568,-118,-437,-2529
117,-427,326,480,370,896,57,681,382,-450,-3062,172
132,-407,1413,397,471,1715,-235,370,291,-1544,-1895,98
115,-391,1352,384,454,1655,-178,373,288,-1378,-1867,82
-90,-912,-382,1057,904,475,-927,865,-58,-355,-1971,-1684
-225,-132,-312,-666,154,56,-21,178,119,68,-25,-523
35,-21,-105,-75,89,80,128,274,110,18,-42,77
-16,-42,-134,-242,102,68,73,234,115,28,-17,-28
-71,-71,-192,-391,113,62,48,240,115,39,-12,-142
-91,-70,-204,-471,109,56,35,233,132,54,5,-224
-574,-303,-507,-1092,430,24,-342,-246,-147,34,-166,-3178
168,-407,402,453,332,907,-2,689,492,-426,-2632,283
106,-76,910,211,241,1003,280,328,325,-548,-1250,196
82,-407,990,378,434,1211,-97,468,291,-849,-2387,5
32,-727,-326,870,626,741,-663,1100,334,-331,-3185,-597
70,-29,-458,-153,89,176,384,751,289,99,-248,247
-59,-62,-205,-418,114,71,69,280,152,52,-14,-147
-4,-44,-179,-235,98,80,122,338,138,41,-29,7
-29,-46,-186,-322,97,71,93,307,142,50,-2,-41
-56,-71,-247,-435,124,77,79,379,144,51,-36,-208
-172,-157,-495,-891,236,97,-22,676,179,77,-145,-1215
-331,-750,-990,1270,1049,321,-1066,1204,-31,-332,-1947,-2460
81,16,943,176,227,1121,266,304,350,-534,-1022,178
49,111,845,142,215,1054,286,253,281,-461,-804,136
60,-342,1042,328,380,1255,52,416,287,-756,-2002,45
5,-454,681,364,342,1001,182,620,373,-203,-2913,3
-1,-87,-582,-252,146,176,281,855,271,106,-309,-195
-31,-56,-194,-334,121,83,92,317,146,36,-43,-92
-11,-51,-194,-261,111,82,110,351,135,40,-38,-66
-55,-66,-231,-412,113,72,84,349,146,55,-14,-133
-74,-83,-289,-481,134,80,77,424,146,54,-48,-269
-224,-141,-399,-915,190,62,-47,348,136,85,-40,-1083
210,-752,-139,1023,722,753,-794,1057,525,-700,-2708,-150
61,66,853,131,180,976,357,276,329,-322,-833,181
23,-67,841,166,228,1013,359,320,299,-334,-1196,123
29,-370,875,321,367,1106,101,493,316,-510,-2413,-3
-172,-409,-1007,260,495,289,-262,1353,256,46,-1102,-1914
7,-71,-360,-398,154,131,159,670,219,59,-135,-139
-31,-52,-167,-340,114,72,72,265,139,40,-12,-74
-25,-54,-173,-316,122,75,79,304,127,30,-33,-82
-74,-76,-235,-506,126,70,55,327,143,52,-7,-204
-108,-85,-253,-616,129,65,34,301,147,61,3,-274
-104,-85,-255,-600,128,65,37,312,147,59,1,-279
-195,-140,-379,-963,204,68,-43,378,142,68,-48,-1015
-231,-1100,-564,2051,1505,328,-1450,770,-269,-861,-2022,-1457
132,70,879,203,263,1036,139,263,298,-812,-894,166
138,56,991,258,343,1253,7,265,254,-1205,-1024,118
134,-85,1032,302,383,1288,-43,291,240,-1262,-1229,92
141,-71,999,303,388,1241,-53,284,216,-1276,-1195,77
107,-94,988,284,363,1239,20,302,244,-1054,-1274,77
126,-218,1078,341,437,1350,-128,334,223,-1328,-1648,31
-84,-265,-928,15,322,281,56,1295,323,95,-936,-988
-22,-64,-313,-475,138,105,119,528,207,68,-49,-186
-21,-47,-145,-237,108,73,81,255,115,27,-36,-45
-63,-58,-174,-394,102,59,54,228,135,51,8,-118
-56,-66,-215,-409,121,73,68,317,137,44,-22,-152
-80,-78,-232,-480,131,70,48,302,132,46,-28,-244
-108,-94,-243,-509,147,70,25,267,117,38,-48,-351
-179,-128,-311,-704,184,66,-23,254,114,49,-65,-751
276,-894,236,1049,874,571,-773,510,81,-1423,-1693,31
47,79,393,118,208,553,169,194,142,-379,-513,29
18,47,435,106,198,631,239,213,166,-301,-609,38
45,-49,641,195,277,845,184,268,174,-539,-942,18
47,-33,629,189,275,829,183,261,169,-553,-915,20
33,-603,119,564,669,380,-466,389,-275,-574,-1353,-938
-296,-167,-365,-836,217,61,-78,110,120,75,-46,-1010
-229,-101,-173,-507,92,29,-32,-68,78,54,15,-339
-205,-111,-196,-512,127,40,-31,5,64,36,-22,-432
-280,-138,-236,-629,135,28,-71,-66,35,44,-15,-633
-271,-147,-274,-670,173,43,-69,34,51,41,-60,-800
-109,-236,-653,-189,337,205,-5,971,180,6,-744,-1116
251,-485,859,509,471,1018,-278,433,282,-1195,-1874,186
52,3,762,164,232,930,286,278,251,-429,-945,109
46,143,660,120,197,845,265,216,223,-376,-582,110
77,54,845,202,284,1086,163,262,218,-741,-952,81
45,-642,706,514,511,1065,-304,626,295,-647,-2869,-157
-85,-204,-798,-264,270,211,99,1148,285,91,-534,-803
14,-54,-305,-295,133,121,171,575,202,59,-119,-94
-76,-72,-210,-393,121,69,57,266,130,46,-34,-193
-94,-102,-291,-460,164,85,48,388,119,36,-107,-426
-141,-146,-407,-556,209,97,13,512,114,39,-185,-746
-191,-195,-551,-700,277,113,-46,702,132,46,-267,-1278
-368,-434,-865,-126,680,168,-520,933,-61,-69,-917,-3334
268,-266,1114,364,364,1166,-83,324,331,-1143,-1253,234
35,222,503,81,161,699,234,170,191,-244,-319,99
50,252,509,95,179,713,194,164,165,-373,-344,81
189,-183,855,377,492,1035,-239,266,50,-1603,-1225,-41
100,-798,512,673,721,835,-640,538,44,-976,-2322,-433
-434,-475,-708,122,595,123,-421,420,-114,-13,-512,-2380
-168,-97,-187,-463,121,47,-6,76,83,34,-25,-298
-128,-97,-230,-492,138,58,7,201,93,40,-37,-390
-198,-128,-270,-611,153,49,-35,153,69,40,-45,-574
-223,-138,-284,-636,159,44,-52,131,51,37,-51,-655
-246,-152,-291,-633,168,40,-72,101,24,30,-68,-738
-265,-162,-288,-603,172,36,-86,66,-5,18,-83,-787
-273,-167,-285,-568,173,32,-93,48,-25,9,-95,-794
-274,-171,-286,-556,177,32,-94,48,-35,8,-100,-800
-282,-176,-282,-525,177,29,-101,30,-53,0,-110,-810
-285,-179,-277,-503,176,28,-106,17,-68,-6,-116,-821
-288,-180,-276,-499,176,26,-107,10,-69,-5,-116,-814
-284,-177,-270,-483,170,24,-106,7,-73,-7,-113,-787
-245,-160,-241,-411,149,27,-81,30,-60,-8,-108,-633
-247,-160,-243,-415,153,26,-82,27,-60,-8,-109,-638
-132,-131,-173,-160,137,52,-10,121,-59,-52,-179,-325
0,-26,2,8,77,59,46,76,-8,-59,-87,-32
9,-4,19,5,56,51,42,60,11,-35,-45,1
6,0,23,4,52,55,46,56,12,-34,-43,-1
-5,-9,15,-5,48,58,52,57,21,-13,-36,3
-17,-27,-3,-16,39,49,55,56,27,5,-23,8
-10,-15,4,-14,37,48,55,53,30,10,-14,14
-9,-15,5,-14,39,49,53,54,31,12,-12,15
20,12,40,18,57,54,37,55,-5,-65,-62,-9
6,-7,18,2,50,50,45,56,10,-31,-43,0
0,-9,12,-4,43,45,45,54,15,-14,-26,4
2,-6,15,-2,43,47,45,52,15,-16,-29,5
-3,-10,13,-4,45,51,50,56,18,-14,-30,4
-9,-19,4,-9,45,51,54,56,20,-1,-31,1
-8,-16,5,-11,41,49,51,53,25,2,-20,9
-9,-17,5,-11,40,47,51,55,25,3,-18,9
-10,-16,4,-12,39,48,52,53,25,4,-18,9
-9,-16,5,-11,40,48,53,54,27,4,-17,9
-9,-17,6,-12,41,49,52,54,25,3,-22,9
-9,-17,5,-11,39,48,53,54,28,4,-19,10
-9,-16,6,-11,40,49,52,54,26,3,-21,9
-9,-15,6,-12,40,48,52,53,26,5,-18,11
-9,-15,5,-11,41,50,52,55,23,4,-18,8
-9,-16,5,-10,40,48,53,54,27,4,-19,8
-10,-17,5,-11,39,49,52,54,27,2,-17,9
-10,-18,6,-12,40,49,52,53,26,3,-19,9
-9,-18,5,-12,41,48,52,54,25,4,-18,10
-8,-15,5,-10,40,49,52,54,27,2,-19,9
-8,-16,5,-11,41,49,52,54,28,4,-20,12
-9,-14,6,-10,41,48,51,55,27,4,-18,10
-8,-16,5,-11,41,48,53,54,28,4,-18,9
-8,-17,6,-12,40,49,52,54,27,5,-16,11
-8,-15,5,-11,39,49,52,55,29,5,-18,9
-10,-17,5,-10,39,48,53,55,27,5,-19,12
-8,-15,5,-11,39,49,53,54,27,7,-17,11
-8,-16,4,-12,40,48,52,54,27,7,-17,12
-9,-16,3,-12,40,48,53,53,28,6,-16,12
-8,-16,6,-11,41,49,51,54,25,5,-19,10
-8,-19,3,-11,41,48,53,54,27,4,-18,9
-8,-17,5,-11,40,49,53,55,25,4,-20,9
-8,-16,5,-12,41,49,53,56,27,4,-17,12
-9,-16,7,-11,41,51,53,55,27,3,-19,11
-9,-16,6,-9,41,50,52,54,27,2,-19,11
-7,-15,6,-10,40,48,52,54,27,4,-18,11
-8,-16,6,-10,41,48,54,55,26,4,-18,11
-7,-16,6,-11,40,49,53,54,27,2,-17,11
-9,-17,6,-10,41,49,52,54,28,1,-18,10
-9,-16,5,-11,40,48,52,54,27,6,-18,11
-9,-16,6,-11,41,48,51,54,28,5,-17,11
-9,-15,5,-12,39,50,51,53,28,4,-18,11
-7,-14,6,-11,41,49,53,53,28,6,-17,10
-7,-14,7,-11,39,47,52,53,27,5,-17,13
-6,-14,7,-9,38,48,52,53,28,7,-17,13
-6,-11,9,-7,39,48,51,51,27,7,-19,9
-5,-13,8,-9,39,48,52,55,28,7,-15,14
