x1,x2,x3,x4,y1,y2,y3,y4,z1,z2,z3,z4
-11,-18,5,-10,46,47,52,56,25,-1,-22,9
-10,-18,4,-11,47,48,53,56,22,-2,-21,9
-10,-18,3,-11,47,47,53,56,23,-2,-20,9
-1,-17,9,0,56,45,44,60,3,-36,-50,-7
-9,-28,-4,-5,58,46,47,66,3,-36,-58,-19
-20,-51,-21,-3,97,73,54,98,-27,-80,-170,-108
-499,-300,-285,-186,282,-22,-266,-303,-450,-49,-200,-1432
-436,-487,-1018,110,691,190,-568,1218,147,41,-944,-3531
-387,-585,-1276,655,798,236,-796,1578,127,18,-1220,-3908
-576,-555,-964,314,757,109,-655,560,-207,1,-613,-3280
-51,-112,-69,8,145,83,28,124,-55,-101,-228,-187
-79,-119,-93,-28,122,56,8,94,-79,-87,-198,-212
-75,-125,-93,-16,147,62,-10,104,-147,-135,-275,-329
-729,-390,-232,73,319,-124,-388,-683,-1063,-116,-163,-1525
-994,-784,-476,1064,1247,-79,-882,-694,-1259,-219,-494,-3148
-882,-849,-479,1250,1316,-69,-965,-535,-1237,-280,-595,-3093
-841,-830,-530,1190,1259,-35,-947,-412,-1081,-253,-632,-3127
-532,-441,-238,226,378,-93,-394,-344,-796,-211,-298,-1151
-2,-36,-1,17,81,47,28,60,-43,-91,-113,-66
-5,-37,-2,12,80,52,37,65,-29,-80,-110,-61
-21,-59,-25,2,101,65,41,87,-35,-81,-160,-117
-547,-388,-329,12,436,-37,-390,-333,-715,-126,-323,-1762
-493,-871,-514,1199,1196,91,-979,146,-754,-420,-1073,-2433
-378,-865,-397,1136,1146,81,-939,127,-845,-550,-1085,-1998
-195,-473,-116,420,474,-63,-425,-104,-801,-491,-527,-843
8,-33,18,35,104,71,36,76,-44,-120,-151,-76
-12,-47,-9,14,97,67,43,80,-34,-91,-143,-78
1,-44,13,36,124,94,50,99,-28,-130,-194,-90
-199,-253,-192,13,220,5,-181,-8,-385,-148,-309,-755
-744,-732,-392,838,1077,-59,-794,-405,-1186,-334,-628,-2424
-574,-814,-353,1015,1111,-56,-856,-272,-1216,-444,-699,-2131
-544,-710,-280,768,851,-109,-690,-360,-1257,-402,-493,-1623
-13,-100,-16,62,174,120,39,139,-55,-166,-303,-168
-10,-48,-8,15,101,74,54,90,-22,-86,-146,-73
0,-35,11,26,101,77,51,84,-25,-100,-152,-67
-20,-141,-11,96,218,128,-19,141,-179,-296,-501,-328
-678,-668,-470,650,940,0,-705,-262,-898,-227,-606,-2491
-537,-957,-588,1476,1373,123,-1145,224,-683,-403,-1199,-2794
-415,-977,-514,1434,1310,131,-1127,261,-739,-500,-1242,-2390
-331,-500,-218,394,493,-37,-428,-101,-718,-382,-525,-1002
4,-61,13,55,141,100,43,107,-48,-154,-219,-103
8,-21,20,27,92,68,45,73,-24,-100,-129,-49
-18,-61,-13,15,113,90,59,101,-17,-89,-180,-91
-45,-91,-58,0,136,103,62,137,-32,-90,-287,-197
-492,-422,-663,-86,595,103,-431,317,-143,-6,-575,-2726
-554,-720,-973,1066,1068,200,-971,793,-108,-88,-1171,-3913
-515,-769,-863,1145,1083,169,-966,582,-357,-200,-1113,-3314
-311,-348,-233,98,322,-6,-271,-47,-467,-211,-396,-881
7,-35,14,31,108,74,41,87,-35,-117,-154,-69
-18,-54,-18,7,99,71,47,91,-28,-82,-147,-85
-12,-46,-12,8,95,70,53,90,-18,-76,-138,-72
-180,-376,-231,215,436,92,-289,167,-402,-294,-709,-1073
-169,-797,-693,1177,955,392,-948,1016,-28,-417,-2063,-1757
-100,-841,-338,1117,990,278,-915,542,-434,-656,-1625,-1480
