x1,x2,x3,x4,y1,y2,y3,y4,z1,z2,z3,z4
-49,-466,-43,426,482,-17,-435,0,-733,-637,-636,-717
-19,-432,-16,405,451,-27,-405,-10,-718,-642,-595,-641
-22,-330,-18,293,365,37,-271,54,-500,-520,-573,-541
-16,-165,-10,129,230,123,-32,142,-157,-274,-442,-282
-6,-241,4,216,307,106,-157,120,-330,-464,-595,-424
-141,-581,-127,502,642,-1,-567,8,-854,-659,-805,-1004
145,-1325,213,1213,1317,346,-1296,303,-619,-1502,-1714,-796
156,-1365,238,1232,1325,355,-1321,302,-637,-1543,-1703,-773
181,-1305,252,1181,1294,295,-1256,250,-704,-1574,-1579,-746
229,-1278,310,1132,1269,282,-1216,227,-708,-1686,-1519,-655
251,-1065,274,974,1076,56,-946,67,-984,-1496,-979,-611
23,-224,50,232,312,130,-133,132,-268,-460,-560,-346
10,-160,31,159,242,115,-66,121,-204,-353,-453,-275
16,-141,41,151,232,119,-56,119,-199,-362,-452,-260
23,-166,47,179,255,113,-95,111,-252,-419,-496,-298
-1,-642,28,595,707,256,-578,252,-477,-889,-1319,-757
78,-1087,206,996,1015,514,-1052,418,-368,-1249,-1965,-723
71,-1025,142,961,1011,356,-982,314,-540,-1204,-1638,-801
73,-979,135,928,985,307,-930,273,-595,-1203,-1494,-783
38,-926,66,877,974,199,-890,198,-707,-1121,-1348,-874
1,-286,25,264,335,137,-148,144,-244,-429,-577,-349
0,-162,19,145,236,131,-43,137,-177,-318,-477,-284
-3,-125,15,109,203,128,-4,132,-132,-272,-400,-219
15,-151,42,155,241,132,-54,129,-200,-375,-492,-270
18,-162,45,171,248,129,-68,125,-216,-395,-502,-282
-4,-434,38,388,511,269,-312,255,-315,-675,-1171,-596
7,-689,147,641,614,716,-426,625,89,-620,-2505,-440
67,-856,337,776,749,753,-716,548,-72,-1008,-2349,-483
74,-839,263,782,779,650,-719,495,-127,-1028,-2146,-519
96,-745,220,719,750,381,-634,290,-436,-1078,-1351,-579
26,-136,64,159,238,158,-29,142,-159,-345,-474,-237
16,-37,43,61,147,132,60,124,-12,-159,-241,-80
18,-122,52,137,215,142,-18,128,-147,-325,-424,-207
5,-126,30,121,211,142,-7,135,-143,-301,-427,-219
-7,-286,10,250,359,185,-157,190,-265,-478,-804,-467
9,-614,113,585,587,654,-356,576,40,-650,-2272,-429
72,-706,396,649,628,796,-462,543,61,-845,-2383,-327
75,-692,379,640,640,748,-474,506,1,-903,-2212,-358
88,-699,355,652,675,662,-526,441,-103,-1009,-1951,-412
84,-618,226,602,656,407,-490,299,-349,-977,-1297,-515
38,-8,80,74,147,145,59,119,-20,-202,-254,-62
3,-111,35,107,193,148,18,139,-103,-250,-393,-193
3,-112,36,109,201,154,17,143,-113,-276,-427,-203
7,-238,47,223,321,201,-101,183,-231,-480,-728,-369
-28,-479,-19,424,534,232,-357,247,-359,-639,-1123,-664
105,-930,469,814,792,855,-829,545,-3,-1186,-2511,-378
128,-937,433,832,834,737,-847,475,-128,-1264,-2216,-446
136,-888,394,808,831,627,-796,407,-251,-1302,-1871,-476
165,-776,326,743,801,390,-713,256,-469,-1321,-1378,-510
104,-575,131,579,648,99,-550,94,-676,-1024,-901,-591
49,-339,72,349,408,103,-280,100,-440,-668,-671,-443
27,-237,50,243,312,110,-167,107,-320,-506,-559,-359
23,-27,48,63,132,115,53,108,-17,-146,-191,-59
20,5,36,26,68,58,43,61,4,-59,-64,-7
13,5,27,16,55,50,42,54,12,-34,-42,5
11,4,29,13,54,54,44,53,11,-33,-41,4
7,2,27,10,52,52,46,53,18,-22,-34,6
-7,-16,10,-1,49,54,56,55,27,-1,-27,7
-6,-11,8,-5,39,47,56,51,35,12,-9,17
-7,-10,8,-6,41,47,53,51,36,14,-10,18
-6,-9,8,-4,41,48,54,51,35,15,-10,19
-5,-10,9,-6,40,46,54,50,37,17,-9,19
-5,-9,9,-5,40,47,53,52,36,17,-8,22
-6,-9,10,-4,40,47,53,51,38,16,-5,19
-5,-9,9,-5,39,46,54,51,36,15,-8,19
-5,-10,8,-6,39,46,54,50,35,14,-9,19
-7,-9,9,-5,38,45,52,49,32,14,-9,17
-5,-10,9,-5,39,46,53,50,35,14,-11,17
-5,-11,9,-5,38,45,52,50,32,15,-10,18
-6,-10,10,-6,38,45,53,49,35,14,-9,18
-6,-9,8,-6,38,46,52,50,35,14,-11,18
-5,-9,9,-5,38,46,54,51,34,13,-9,18
-5,-9,8,-5,38,46,53,49,33,14,-10,17
-5,-9,10,-5,38,46,54,50,37,12,-11,18
-4,-9,9,-5,39,45,53,48,36,14,-9,18
-5,-9,8,-5,38,45,53,50,35,14,-11,18
-6,-9,10,-5,38,45,53,50,36,14,-8,20
-5,-10,9,-4,38,46,52,49,36,15,-6,18
-4,-9,9,-5,39,46,53,50,35,14,-7,17
-4,-9,9,-4,38,45,53,50,36,15,-9,21
-5,-11,9,-5,38,44,54,50,35,15,-8,19
-4,-9,9,-4,37,46,53,50,36,14,-9,18
-5,-9,9,-5,38,46,54,49,36,15,-8,19
-6,-8,9,-4,39,46,52,50,35,16,-8,18
