x1,x2,x3,x4,y1,y2,y3,y4,z1,z2,z3,z4
21,-2,24,21,55,36,32,48,-18,-65,-59,-18
45,30,40,30,30,7,10,27,-14,-59,-19,6
46,30,39,30,27,0,3,21,-22,-68,-25,0
45,28,45,34,42,16,11,31,-29,-84,-47,-8
1,-17,0,-4,39,27,39,45,15,-7,-13,5
0,-19,1,-2,46,35,46,50,12,-9,-24,0
-2,-20,-4,-9,37,28,40,45,21,-1,-8,11
10,-6,22,12,63,53,49,58,2,-55,-55,-4
45,28,45,33,42,17,15,33,-22,-75,-41,-4
44,28,43,34,44,19,17,33,-21,-75,-41,-4
47,28,45,35,44,18,15,33,-24,-82,-45,-7
-4,-20,0,-7,42,36,46,50,24,1,-12,7
-2,-17,-6,-10,27,16,32,36,23,7,7,18
0,-15,1,-4,42,33,45,49,19,-5,-15,8
17,3,30,17,58,47,42,52,5,-46,-41,-1
46,30,44,32,39,12,11,29,-20,-71,-37,-5
46,30,43,32,34,8,9,26,-22,-71,-31,0
47,30,43,33,36,8,9,28,-28,-75,-35,-1
0,-18,0,-2,49,38,47,53,13,-13,-28,1
-2,-19,-2,-7,38,27,38,44,21,-2,-9,11
2,-13,8,0,51,41,48,55,14,-22,-36,0
37,19,45,34,53,32,22,40,-24,-83,-49,-8
45,27,36,28,20,-9,-1,16,-26,-63,-16,1
47,27,35,28,20,-10,-3,15,-29,-65,-19,0
48,30,39,31,26,-3,1,18,-29,-72,-26,-1
-3,-19,1,-5,45,42,54,54,25,-1,-18,7
-7,-21,-7,-13,35,28,42,44,27,10,-1,14
-10,-24,-11,-17,31,23,40,39,30,15,6,16
20,6,30,18,57,41,37,50,-5,-56,-46,-3
39,25,41,29,47,23,19,38,-19,-72,-42,-7
44,28,45,34,44,17,15,34,-24,-78,-44,-7
41,25,43,32,50,27,21,39,-15,-73,-47,-5
-8,-24,-7,-13,44,39,54,56,30,4,-20,7
2,-10,14,4,55,50,56,59,20,-13,-33,4
-8,-22,-6,-11,40,35,50,50,28,7,-12,11
13,4,28,13,61,57,50,58,17,-39,-44,0
29,20,42,25,58,46,37,50,-3,-63,-49,-2
31,19,40,26,56,42,34,48,-3,-61,-47,-1
0,-12,10,0,52,51,58,57,34,2,-19,11
-7,-21,-8,-13,32,22,36,40,21,6,0,14
-3,-19,-6,-11,28,17,31,35,21,7,6,16
12,-1,21,10,56,47,45,54,7,-39,-42,0
44,29,40,30,34,9,12,29,-14,-59,-25,4
43,29,38,28,28,2,7,23,-18,-62,-22,1
40,27,41,28,41,19,18,36,-11,-61,-32,1
-6,-21,-5,-11,33,25,40,40,23,5,-1,14
-5,-20,-7,-11,27,14,28,33,17,5,0,11
-7,-21,-8,-13,27,16,31,34,21,6,4,15
14,2,25,11,55,47,44,53,9,-36,-36,2
17,3,26,15,58,47,43,55,7,-42,-44,-2
16,4,27,15,58,47,45,54,8,-42,-43,0
20,6,29,17,57,45,41,52,1,-47,-44,-2
18,1,27,15,58,45,41,53,3,-43,-45,-4
16,0,24,15,57,45,42,53,1,-46,-46,-6
9,-9,12,8,53,41,46,52,8,-32,-38,-3
5,-13,6,1,49,37,44,51,8,-22,-33,-3
0,-17,0,0,44,32,41,48,4,-25,-34,-5
0,-17,1,-2,43,31,40,47,1,-28,-36,-9
1,-14,7,0,42,33,41,47,1,-35,-44,-9
0,-14,5,-4,39,34,43,44,8,-22,-33,-4
3,-9,13,0,43,40,46,49,5,-27,-39,-4
1,-11,9,0,45,40,45,49,3,-30,-42,-6
1,-15,5,0,43,36,42,48,1,-31,-42,-9
0,-17,6,0,46,36,43,51,-2,-36,-49,-14
0,-17,3,0,46,36,43,50,-3,-35,-49,-13
0,-19,3,0,47,35,43,49,-3,-37,-49,-15
8,-12,15,8,52,44,46,53,-4,-45,-58,-17
2,-15,5,0,42,32,42,46,7,-21,-31,-5
-5,-18,-7,-12,33,24,41,43,18,-2,-14,5
2,-11,9,1,46,39,47,51,9,-26,-36,-3
3,-12,7,0,46,37,45,51,8,-25,-38,-4
4,-12,8,1,47,38,45,49,4,-28,-39,-7
4,-13,6,0,46,35,43,48,6,-28,-36,-4
4,-13,6,0,42,34,43,47,4,-24,-34,-4
4,-14,5,0,41,31,43,47,7,-21,-32,-2
1,-15,3,-1,39,30,43,46,11,-15,-24,1
0,-17,0,-6,37,30,44,46,12,-12,-24,0
3,-11,7,1,44,37,46,50,11,-22,-33,-2
3,-11,10,1,46,38,46,51,8,-28,-38,-4
4,-10,10,1,46,38,45,50,9,-25,-36,-4
7,-10,13,5,50,42,47,52,7,-34,-45,-7
8,-6,19,5,50,46,48,50,7,-35,-42,-5
4,-11,8,2,43,36,44,47,8,-21,-32,-4
2,-12,4,-3,36,25,37,41,8,-15,-21,2
5,-9,6,0,31,21,32,37,12,-12,-12,7
7,-8,10,2,37,31,41,44,10,-17,-22,2
8,-8,16,5,45,40,46,48,7,-26,-39,-5
5,-10,13,4,46,39,46,47,3,-31,-40,-6
1,-11,16,3,52,52,54,55,11,-26,-41,-4
-12,-25,0,-12,45,48,59,54,27,0,-21,10
-9,-20,3,-10,42,47,59,53,27,4,-14,12
-9,-18,4,-9,44,46,59,53,30,4,-15,14
-8,-18,3,-10,43,47,57,54,28,2,-15,13
