x1,x2,x3,x4,y1,y2,y3,y4,z1,z2,z3,z4
-2,-21,0,-5,51,39,46,60,4,-29,-41,-12
-2,-19,0,-4,51,38,47,60,4,-28,-42,-11
-1,-20,0,-5,51,40,46,58,3,-28,-41,-9
-1,-19,1,-4,51,41,47,60,5,-28,-42,-9
0,-19,2,-4,51,42,46,59,5,-29,-43,-8
0,-17,2,-3,51,41,47,60,5,-28,-42,-9
0,-18,2,-3,51,41,47,60,4,-28,-42,-8
0,-18,3,-3,52,41,45,60,5,-28,-41,-8
0,-19,2,-2,52,41,47,59,5,-28,-42,-9
0,-17,3,-2,52,41,47,59,2,-28,-40,-9
0,-18,2,-3,51,41,47,59,6,-29,-42,-8
0,-18,3,-3,51,41,47,59,5,-28,-42,-8
0,-19,2,-3,51,42,46,59,5,-29,-41,-7
0,-17,4,-3,51,41,47,59,6,-28,-43,-8
0,-16,4,-1,52,43,47,60,4,-31,-41,-11
0,-18,4,-1,52,43,48,60,4,-30,-45,-9
2,-16,7,0,54,44,47,59,6,-30,-43,-9
2,-15,7,-1,51,44,49,60,5,-28,-43,-7
-3,-10,12,-7,44,53,65,58,31,6,-17,15
-1,-9,15,-7,44,53,65,59,30,5,-14,15
7,-9,14,4,55,47,47,60,2,-35,-48,-7
1,-17,6,0,53,41,46,61,3,-35,-47,-10
1,-16,5,0,52,40,46,59,2,-31,-46,-11
3,-11,14,2,56,53,54,64,12,-32,-47,-2
2,0,23,-2,45,54,63,58,34,2,-13,20
1,0,20,-4,43,54,64,57,34,5,-10,20
5,-11,9,2,54,42,46,60,2,-35,-44,-8
1,-16,4,-3,46,33,42,54,5,-26,-33,-4
4,-13,9,2,53,42,45,58,1,-35,-46,-9
0,-15,6,-1,56,48,51,63,9,-28,-46,-7
-3,-10,13,-7,45,53,65,59,31,5,-14,17
-1,-8,15,-6,44,53,65,58,32,3,-14,17
6,-8,13,4,53,45,47,60,2,-36,-45,-7
5,-12,10,2,51,41,46,59,4,-33,-41,-6
7,-11,11,3,52,39,44,57,2,-34,-45,-9
6,-11,11,2,54,41,44,59,1,-36,-45,-9
-5,-13,9,-9,43,52,65,59,34,10,-11,19
-1,-7,15,-8,42,53,66,58,36,9,-7,22
8,-10,12,3,52,41,46,60,1,-36,-44,-5
4,-13,10,2,53,42,44,57,2,-35,-44,-9
4,-14,9,1,52,40,45,59,1,-36,-45,-8
1,-16,7,0,54,44,49,61,3,-32,-48,-10
-4,-12,12,-8,43,53,66,60,35,6,-13,18
-1,-6,14,-8,44,53,65,58,36,9,-10,20
7,-8,12,3,50,40,44,56,2,-35,-41,-5
4,-11,7,0,44,33,40,53,8,-27,-31,1
7,-13,8,2,52,38,42,57,-2,-38,-44,-9
7,-13,9,6,56,41,41,59,-6,-45,-55,-17
-3,-12,9,-9,42,49,62,57,34,9,-10,17
-5,-10,10,-8,42,51,63,57,32,8,-11,19
6,-12,12,3,55,43,47,61,0,-38,-49,-8
4,-17,4,0,52,38,43,58,-4,-38,-47,-15
2,-18,3,1,55,38,42,59,-6,-45,-53,-21
3,-17,5,1,56,40,43,59,-3,-41,-51,-17
-4,-10,10,-8,44,52,63,59,34,10,-11,18
-3,-8,14,-6,45,52,64,58,33,6,-14,18
7,-11,12,4,55,42,45,59,0,-39,-45,-10
3,-15,7,0,54,38,44,59,0,-38,-46,-14
2,-16,5,1,54,39,43,60,-2,-37,-46,-13
3,-13,9,1,53,40,46,60,1,-34,-45,-10
-5,-10,9,-9,44,53,69,61,36,11,-8,22
-6,-11,10,-10,43,54,69,60,36,14,-10,21
4,-13,8,0,49,37,43,55,4,-30,-37,-4
3,-14,6,-1,50,38,44,56,4,-29,-39,-7
3,-13,7,0,51,39,44,58,3,-31,-41,-7
4,-12,10,0,54,47,50,62,9,-28,-44,-2
-3,-10,11,-8,44,51,65,58,34,8,-13,19
-3,-12,11,-8,42,51,65,59,34,9,-12,19
5,-13,9,1,52,39,44,58,5,-32,-41,-7
3,-14,4,0,50,37,43,58,3,-30,-41,-8
3,-15,4,0,51,40,44,57,3,-33,-42,-8
3,-14,6,0,53,42,45,59,4,-34,-47,-12
-4,-11,12,-9,42,51,64,59,32,10,-11,16
-4,-10,11,-9,43,51,65,58,31,8,-12,16
5,-10,12,2,54,45,48,59,8,-34,-42,-5
3,-14,8,0,52,42,46,59,2,-34,-44,-8
3,-13,8,0,53,42,47,58,3,-33,-45,-9
2,-14,7,0,52,41,47,60,2,-33,-44,-9
2,-14,8,0,52,43,46,58,3,-35,-48,-10
2,-14,9,0,51,41,45,59,1,-36,-46,-11
3,-14,7,0,51,41,45,58,2,-35,-46,-12
4,-14,7,0,50,39,46,57,2,-36,-46,-12
1,-14,7,0,51,40,46,58,2,-35,-48,-11
1,-14,6,-3,50,41,46,57,8,-32,-42,-7
-3,-19,3,-4,52,46,50,60,8,-30,-46,-9
