x1,x2,x3,x4,y1,y2,y3,y4,z1,z2,z3,z4
1,-15,1,-2,47,35,44,56,16,-12,-23,2
2,-15,2,-3,47,35,44,56,15,-11,-21,3
1,-14,3,-3,47,35,44,56,14,-15,-25,3
1,-15,2,-2,46,34,44,56,14,-14,-25,1
1,-14,3,-3,47,35,45,57,13,-14,-27,-1
3,-14,5,0,49,37,46,57,12,-19,-30,-1
4,-15,9,3,55,44,45,60,0,-36,-51,-13
13,10,35,7,49,56,59,56,34,0,-8,24
14,16,33,6,42,50,57,54,35,2,-1,28
14,16,34,3,42,51,55,53,36,3,-2,28
15,16,33,5,42,51,55,53,36,2,-2,28
12,16,33,4,42,51,56,54,37,1,-3,29
11,14,32,3,42,49,56,55,39,6,0,28
12,14,30,2,41,50,56,53,38,7,2,30
12,14,31,2,40,50,56,55,39,7,0,31
11,13,29,2,41,50,56,54,39,9,2,31
12,13,30,2,39,48,56,52,40,8,2,29
11,14,30,1,40,49,56,53,41,9,4,31
11,13,30,2,40,50,57,53,39,8,2,30
11,13,30,2,40,51,56,54,39,10,2,28
12,13,29,1,41,50,56,54,39,9,0,30
12,13,29,2,41,49,56,54,38,7,2,29
12,14,29,1,41,49,57,54,40,7,1,29
12,14,30,1,42,50,57,53,38,5,1,29
11,13,29,3,40,50,57,53,40,8,0,28
11,14,30,3,42,49,57,54,39,7,2,30
11,12,29,2,41,50,57,53,39,9,1,29
11,12,30,2,41,51,56,54,41,7,0,28
7,-8,12,1,51,42,49,59,17,-20,-29,2
2,-14,3,-3,45,32,42,55,12,-15,-22,1
1,-15,1,-3,46,34,44,56,14,-14,-25,2
2,-14,2,-4,46,34,44,56,12,-14,-27,3
1,-15,3,-3,47,36,46,57,15,-16,-26,0
2,-15,4,-3,48,36,46,59,15,-17,-25,1
2,-14,5,-2,50,38,47,60,13,-21,-30,0
3,-14,4,0,48,38,45,59,12,-15,-29,2
2,-14,5,-1,49,39,47,59,13,-18,-29,0
4,-13,5,-1,49,39,47,59,14,-19,-31,0
7,-9,13,5,55,44,48,62,11,-28,-40,-2
11,0,26,10,57,58,57,64,19,-23,-38,4
8,6,26,0,42,52,60,55,42,11,-2,27
7,7,26,0,42,53,60,56,39,8,0,28
7,7,26,1,43,51,61,55,41,9,-2,29
6,7,27,0,43,51,61,55,42,9,-1,28
7,6,27,0,43,52,61,56,39,10,0,29
8,6,26,0,42,52,61,56,42,11,-1,29
8,6,26,0,44,51,62,57,40,11,-1,29
7,7,24,0,42,52,61,56,40,11,0,28
7,6,26,0,42,53,61,56,40,11,0,27
6,7,25,0,41,53,62,56,41,11,0,28
6,5,24,0,42,52,61,56,41,14,-1,28
6,6,25,0,42,53,61,55,40,12,0,29
7,5,25,0,42,51,61,57,43,13,2,27
7,6,24,0,42,52,62,56,39,14,1,26
6,6,24,0,43,52,60,57,42,10,0,30
6,5,24,0,42,52,62,56,40,14,1,28
7,6,24,0,42,51,60,56,41,13,1,29
5,6,25,0,41,53,61,56,41,14,-1,31
5,5,25,0,41,51,60,56,42,12,0,29
7,6,26,0,41,51,62,57,40,13,-1,30
7,5,24,0,41,51,62,57,43,14,1,28
6,6,25,-1,41,52,62,56,41,12,0,28
6,5,25,0,41,51,61,56,42,13,0,28
13,-7,17,10,54,40,43,58,4,-36,-42,-8
5,-15,5,0,48,33,39,55,2,-27,-35,-6
3,-15,1,-1,47,32,40,55,7,-24,-30,-4
3,-16,2,-2,47,34,42,56,8,-21,-30,-5
3,-15,2,-2,49,35,43,57,8,-21,-32,-6
4,-15,3,0,49,38,43,58,9,-23,-30,-4
2,-14,4,0,50,37,44,58,9,-22,-34,-3
3,-15,4,0,49,37,44,58,10,-19,-32,-4
4,-14,4,0,49,37,45,58,9,-22,-31,-4
3,-14,4,0,50,37,45,57,9,-22,-35,-2
4,-13,5,0,50,39,46,59,9,-22,-32,-3
3,-15,5,0,50,37,46,59,11,-22,-34,-4
3,-15,4,0,50,38,47,59,11,-22,-36,-2
2,-15,5,0,51,42,47,60,9,-21,-35,-2
3,-13,5,0,51,42,47,58,11,-23,-38,-3
2,-14,8,0,53,44,50,61,10,-25,-40,-3
2,-11,11,0,52,46,53,61,14,-24,-40,-2
0,-14,5,-3,48,44,52,60,14,-20,-36,1
-2,-16,3,-6,47,42,52,59,12,-22,-34,0
-2,-16,2,-8,46,40,49,58,12,-18,-31,-2
-1,-16,6,-5,46,41,51,58,11,-18,-37,-1
-1,-16,4,-5,47,42,52,59,12,-24,-37,-1
-1,-17,3,-6,46,43,50,58,13,-19,-37,-1
0,-16,3,-5,47,42,51,59,12,-21,-36,-1
-1,-16,4,-6,45,41,50,58,14,-19,-35,0
-1,-16,3,-6,46,41,51,57,14,-19,-34,0
-2,-17,1,-7,45,39,50,57,11,-18,-36,-1
-1,-16,4,-5,47,41,50,58,11,-22,-34,0
0,-14,8,-3,48,44,50,57,12,-25,-38,0
1,-13,9,-3,47,44,51,57,11,-21,-38,-1
0,-13,7,-4,45,43,53,57,17,-19,-32,2
0,-11,10,-4,47,45,52,57,17,-18,-32,3
0,-10,12,-4,45,46,55,56,17,-16,-32,2
1,-10,9,-2,49,45,50,58,13,-23,-36,0
0,-15,4,-3,45,39,49,58,9,-20,-35,-3
-1,-17,0,-6,44,37,47,56,12,-20,-32,-1
-2,-17,1,-7,43,36,47,55,11,-15,-31,-1
-1,-16,0,-8,42,35,46,54,14,-14,-27,0
0,-16,0,-9,40,33,45,53,15,-13,-27,1
-1,-16,0,-8,40,33,45,53,12,-11,-25,2
-1,-16,0,-9,41,32,45,53,12,-13,-26,0
-1,-17,0,-8,40,32,44,52,12,-14,-28,0
0,-17,0,-8,39,32,44,52,11,-13,-27,1
-1,-16,0,-7,40,32,44,52,11,-15,-27,0
-1,-17,0,-8,38,32,43,52,13,-14,-29,0
