x1,x2,x3,x4,y1,y2,y3,y4,z1,z2,z3,z4
-1,-16,-1,-6,37,28,41,45,17,-6,-12,9
0,-15,0,-6,37,28,42,44,15,-4,-15,7
0,-15,0,-5,39,29,40,45,14,-9,-17,5
0,-15,0,-4,39,30,41,47,12,-11,-19,5
1,-16,1,-1,47,36,43,51,5,-20,-34,-6
-3,-25,-5,-3,53,39,48,58,2,-24,-49,-17
-73,-130,-116,-20,140,63,5,125,-102,-96,-284,-329
-148,-217,-592,-212,274,153,25,725,115,38,-575,-925
-42,-126,-73,36,144,97,54,143,-28,-102,-208,-103
5,-18,3,4,53,37,41,58,-4,-38,-46,-14
9,-10,9,0,38,26,34,46,7,-17,-18,4
-14,-37,-22,-17,61,47,56,80,18,-13,-63,-38
-72,-94,-318,-383,149,87,86,473,139,55,-125,-405
-132,-155,-497,-527,212,102,34,654,119,46,-236,-769
46,-2,59,60,91,66,42,77,-28,-110,-109,-33
-20,-38,-40,-34,60,46,65,88,35,3,-44,-16
-9,-37,-21,-8,75,53,55,86,-5,-43,-90,-52
-144,-97,-218,-442,114,44,8,172,96,51,-19,-363
-101,-90,-332,-701,137,69,51,481,173,78,0,-389
-232,-173,-397,-700,211,50,-83,288,-11,10,-154,-989
8,-20,11,15,67,49,46,68,-15,-61,-79,-31
8,-12,9,3,45,32,39,52,3,-25,-28,1
6,-12,14,6,56,47,49,63,4,-36,-57,-12
-41,-59,-83,-57,70,70,109,142,80,48,-66,-42
-16,-31,-147,-223,70,55,103,242,130,56,23,34
-48,-50,-184,-362,85,54,76,274,139,61,21,-69
-130,-166,-232,-120,193,76,-17,195,-124,-144,-366,-392
13,-6,14,7,47,33,40,53,8,-25,-27,2
5,-10,8,0,39,28,34,46,8,-17,-20,3
-6,-25,13,4,87,90,74,92,28,-41,-101,-25
-27,-44,-157,-220,93,66,91,249,126,49,-19,-90
-90,-68,-242,-585,111,56,50,329,164,73,28,-240
-106,-90,-324,-696,133,66,46,444,167,78,5,-372
-40,-115,-66,28,140,80,25,115,-78,-152,-201,-119
10,-17,15,17,75,58,48,71,-18,-70,-85,-30
3,-11,7,-2,38,28,35,45,12,-15,-18,5
10,-2,26,11,64,59,53,65,5,-46,-61,-10
26,12,-24,-34,41,67,143,141,129,50,11,149
31,-20,-158,-147,81,78,161,344,149,55,-7,94
-58,-88,-284,-322,141,84,92,402,98,28,-137,-298
29,17,39,24,60,47,38,57,-2,-57,-51,-6
5,-9,10,1,45,34,43,52,10,-19,-25,7
5,-15,12,8,67,56,54,70,1,-46,-72,-21
-5,-19,-71,-73,59,61,116,158,111,43,-12,48
-43,-46,-157,-322,87,54,70,227,131,52,18,-43
-35,-45,-171,-325,83,55,85,265,136,55,23,-18
-150,-133,-268,-347,174,58,-23,213,-61,-42,-248,-618
13,-3,18,9,52,43,46,58,11,-29,-34,1
7,-7,11,1,41,31,39,48,13,-16,-19,7
0,-26,7,7,76,67,59,81,-3,-54,-102,-42
-15,-25,-77,-119,57,45,80,143,98,41,14,25
-104,-66,-172,-452,84,37,25,149,115,59,36,-171
-237,-140,-225,-448,118,7,-83,-18,-89,-2,-74,-601
15,-6,17,11,52,33,38,53,1,-38,-40,-4
13,-6,15,8,51,36,40,54,3,-34,-37,-4
10,-7,10,2,39,28,35,47,10,-17,-19,5
-61,-53,-97,-122,56,38,57,104,71,45,-5,-49
-80,-76,-276,-533,122,65,65,399,157,72,-5,-281
-177,-143,-412,-757,191,66,-20,459,103,58,-92,-857
29,-3,33,32,68,46,36,61,-18,-71,-72,-21
8,-9,12,1,47,40,48,56,18,-11,-21,9
10,-13,21,16,83,73,59,82,-14,-81,-123,-52
-43,-55,-189,-297,106,69,84,287,137,52,-25,-135
-99,-78,-264,-597,121,61,47,335,157,71,8,-295
-161,-203,-226,-67,234,64,-94,148,-248,-226,-445,-534
-9,-38,-16,-6,68,47,47,75,-11,-38,-76,-52
-7,-34,-13,-5,65,42,44,71,-14,-45,-75,-45
-79,-81,-130,-129,85,42,38,127,35,31,-63,-213
-222,-124,-319,-880,153,42,-41,198,136,83,18,-787
-278,-153,-365,-979,181,37,-81,177,96,75,-2,-1008
-221,-183,-206,-173,162,19,-99,46,-198,-119,-274,-514
16,-5,21,12,58,43,44,60,0,-45,-51,-7
16,-5,20,13,59,45,44,61,-2,-48,-55,-11
12,-8,17,11,57,43,44,60,-1,-45,-53,-9
11,-10,15,10,56,43,46,60,-1,-42,-51,-10
7,-12,11,4,52,39,45,57,1,-36,-46,-9
5,-13,6,0,50,40,44,57,4,-31,-39,-7
5,-10,12,1,52,44,47,57,6,-31,-42,-3
3,-10,15,1,51,48,50,58,9,-30,-44,-2
0,-15,9,-3,47,43,50,56,9,-22,-35,-3
-2,-16,4,-6,45,39,49,54,11,-19,-34,0
0,-17,3,-5,44,38,46,54,8,-20,-34,-1
0,-18,1,-6,44,36,47,52,9,-21,-32,0
-1,-18,4,-6,47,40,52,56,14,-17,-32,2
3,-9,17,2,56,55,57,62,12,-33,-48,-2
0,-9,18,0,56,58,60,61,18,-24,-43,1
2,-16,11,2,59,53,54,65,7,-37,-56,-12
2,-14,10,0,54,48,54,61,12,-27,-45,-4
0,-13,8,-3,48,44,54,59,18,-15,-29,4
-1,-15,5,-6,46,41,54,56,21,-10,-25,5
2,-19,10,8,69,62,59,75,-5,-59,-93,-29
-91,-216,-128,68,208,63,-83,122,-224,-186,-390,-468
-237,-165,-279,-399,176,39,-72,99,-29,11,-136,-801
-312,-232,-428,-492,255,45,-146,219,-65,11,-221,-1222
-300,-240,-297,-232,218,15,-161,32,-224,-70,-246,-875
16,-25,25,34,94,70,46,84,-29,-106,-129,-50
9,-4,16,5,53,44,47,57,8,-32,-38,0
7,-8,13,2,45,35,40,51,6,-29,-31,0
9,-9,22,11,63,59,55,66,8,-43,-58,-7
1,-11,11,-1,49,48,57,61,18,-17,-31,4
5,-6,15,-1,45,42,49,54,18,-14,-24,9
4,-2,19,0,51,54,56,57,20,-18,-32,8
7,-2,25,5,54,56,56,60,15,-25,-41,4
-7,-19,6,-7,50,53,59,61,21,-7,-33,2
-7,-17,6,-9,43,46,59,55,28,4,-15,13
-5,-15,7,-9,42,47,59,56,28,6,-15,12
-6,-15,7,-9,42,46,57,55,28,5,-14,14
-6,-16,7,-10,41,46,58,55,29,5,-14,14
-6,-17,5,-9,41,47,60,56,29,5,-15,14
-6,-14,7,-10,42,46,57,56,30,7,-15,13
-5,-13,7,-7,43,47,59,55,28,7,-15,12
-7,-15,7,-9,42,47,59,56,30,5,-17,12
