x1,x2,x3,x4,y1,y2,y3,y4,z1,z2,z3,z4
3,-15,5,0,47,38,44,50,6,-25,-35,-4
0,-14,0,-6,26,13,22,28,3,-13,-10,3
3,-13,4,0,28,12,22,29,1,-17,-12,1
5,-9,6,0,28,15,24,29,5,-14,-10,2
13,-2,15,9,41,28,34,42,-1,-31,-31,-4
7,-9,12,7,48,37,40,48,1,-36,-41,-8
8,-10,9,5,44,31,37,46,0,-32,-35,-7
1,-12,2,-4,27,16,27,32,13,-4,-2,12
3,-14,3,0,27,13,22,29,3,-15,-10,2
3,-13,3,0,27,12,22,29,0,-14,-13,2
3,-13,4,0,27,12,20,28,2,-16,-11,4
15,0,18,9,39,25,29,37,-5,-33,-28,-4
29,22,43,25,62,52,38,52,-5,-77,-62,-9
16,6,32,14,60,56,48,55,6,-52,-56,-4
18,12,47,23,75,79,61,67,22,-49,-54,5
2,-15,2,0,30,16,23,31,0,-16,-14,2
2,-15,3,0,29,15,22,30,2,-16,-15,2
1,-13,3,-1,29,15,23,30,2,-18,-15,1
20,6,24,14,42,26,29,40,-5,-44,-33,-1
1,-13,3,-1,32,19,29,35,8,-9,-8,5
5,-7,13,3,45,34,37,44,3,-25,-28,-3
1,-14,4,0,31,18,25,34,1,-16,-15,0
3,-14,3,0,30,16,23,31,-1,-19,-18,0
3,-14,4,0,29,15,22,30,1,-18,-15,0
2,-12,6,1,32,19,26,34,-1,-22,-19,-2
21,2,40,28,83,69,44,67,-24,-110,-115,-42
17,11,37,15,59,57,50,56,16,-33,-33,4
14,-5,40,27,87,88,65,79,4,-82,-106,-21
0,-10,6,-4,34,25,34,36,17,0,-3,11
1,-13,3,-1,31,16,23,32,1,-17,-15,0
3,-14,4,0,29,16,23,31,0,-19,-15,0
7,-8,10,5,40,25,29,37,-4,-34,-29,-7
-3,-24,4,1,74,68,62,76,16,-38,-79,-22
11,-8,18,12,62,50,48,60,2,-42,-56,-11
1,-15,1,-3,28,16,26,32,8,-9,-9,5
3,-12,4,0,28,15,22,30,4,-17,-12,1
2,-13,4,0,28,14,23,29,1,-17,-12,0
4,-12,3,0,28,14,22,30,5,-16,-13,3
16,2,18,9,37,22,27,36,2,-31,-22,1
-5,-25,-1,-3,59,56,64,69,18,-20,-63,-15
10,0,24,8,49,45,47,50,18,-14,-19,9
2,-15,2,0,28,15,24,31,0,-16,-14,0
3,-15,3,0,29,15,23,30,2,-18,-14,2
2,-14,3,0,29,13,22,29,1,-15,-13,0
3,-14,4,-1,28,14,23,29,2,-18,-12,2
11,-2,11,5,27,11,20,28,4,-17,-7,5
15,-7,22,18,58,46,42,54,-11,-54,-61,-19
11,-8,16,11,54,42,43,52,0,-41,-49,-9
2,-13,3,-3,28,16,24,30,5,-12,-8,4
2,-14,3,0,28,15,22,31,4,-16,-12,0
3,-13,3,0,28,15,22,30,1,-15,-13,1
2,-13,5,-1,29,15,23,30,2,-16,-12,1
19,6,24,13,41,23,25,35,-8,-48,-36,-7
8,-7,11,6,39,27,35,41,5,-25,-24,1
