x1,x2,x3,x4,y1,y2,y3,y4,z1,z2,z3,z4
-263,-360,-175,189,308,-61,-328,-129,-652,-271,-362,-897
-241,-334,-157,165,273,-64,-297,-124,-632,-274,-341,-798
-224,-332,-141,181,267,-72,-301,-132,-653,-289,-338,-771
-234,-340,-142,186,268,-80,-312,-152,-680,-277,-320,-803
-267,-354,-163,185,284,-78,-325,-159,-690,-274,-333,-845
-95,-350,-57,293,309,-93,-335,-107,-761,-472,-398,-622
-67,-353,-42,304,312,-99,-336,-103,-770,-487,-399,-599
-61,-355,-38,305,314,-100,-336,-101,-772,-497,-400,-591
164,127,222,148,127,110,0,61,13,-196,-57,37
3,-10,4,-2,27,9,20,27,14,-5,-2,13
2,-12,5,0,28,9,18,28,7,-11,-6,6
3,-11,5,0,27,8,18,27,7,-10,-5,8
5,-10,5,1,27,6,18,27,8,-11,-7,8
5,-10,7,1,27,9,18,27,5,-12,-7,5
23,-36,96,83,169,163,48,121,-82,-268,-359,-145
-331,-250,-305,-185,225,14,-169,0,-204,-9,-219,-977
-373,-315,-346,-93,311,7,-259,-11,-353,-84,-333,-1206
-340,-366,-254,115,342,-31,-327,-103,-567,-201,-376,-1104
-330,-358,-226,124,314,-51,-324,-138,-614,-214,-346,-1020
-270,-373,-170,217,326,-71,-347,-146,-716,-314,-379,-892
192,-121,213,289,283,115,-130,87,-129,-619,-318,-49
2,-13,5,0,29,12,22,30,11,-8,-4,10
4,-11,6,1,28,9,18,27,6,-12,-5,9
4,-9,5,0,28,8,19,27,8,-12,-7,9
7,-9,8,1,28,8,18,27,5,-11,-8,9
5,-9,7,0,27,10,18,27,6,-11,-7,8
7,-8,8,1,28,9,18,28,7,-10,-7,9
31,0,102,69,150,158,57,110,-52,-223,-304,-113
-226,-211,-326,-190,225,55,-95,174,-109,-14,-281,-858
-368,-385,-219,171,335,-76,-364,-211,-727,-237,-328,-1081
-313,-367,-178,190,303,-82,-342,-197,-723,-258,-323,-940
-269,-339,-154,171,266,-79,-308,-173,-685,-264,-309,-827
-122,-364,-57,312,297,-137,-358,-166,-872,-477,-349,-618
98,120,127,62,57,53,35,46,38,-31,0,38
3,-13,4,0,30,11,21,29,6,-11,-8,8
5,-10,6,0,27,8,19,26,5,-11,-6,8
6,-8,7,1,28,8,17,27,4,-13,-7,7
7,-10,7,1,26,7,17,27,6,-14,-8,8
6,-9,5,1,28,7,18,28,8,-12,-8,5
29,22,38,23,55,35,25,42,-19,-101,-68,-14
-201,-201,-297,-149,206,62,-63,180,-67,2,-262,-734
-354,-278,-272,-108,239,-18,-230,-99,-388,-88,-249,-1006
-294,-331,-172,132,261,-72,-301,-170,-649,-239,-304,-861
-262,-331,-151,162,258,-78,-301,-166,-670,-264,-312,-808
-198,-324,-110,203,247,-87,-296,-154,-689,-299,-310,-718
-201,-306,-112,173,225,-91,-284,-155,-686,-308,-300,-667
5,-3,12,-1,31,18,29,34,22,4,1,16
4,-11,6,0,28,9,18,27,7,-8,-5,8
5,-9,6,0,25,5,18,26,7,-9,-4,10
5,-9,7,1,25,7,17,27,9,-11,-6,10
6,-9,8,0,27,8,17,26,8,-9,-5,11
5,-8,7,0,28,7,18,27,8,-8,-6,9
5,-8,6,0,28,8,18,26,8,-7,-4,9
5,-8,7,0,28,9,19,28,10,-9,-5,12
