x1,x2,x3,x4,y1,y2,y3,y4,z1,z2,z3,z4
-6,-28,-1,-5,58,52,58,68,2,-37,-66,-19
-5,-25,0,-3,58,53,58,68,4,-37,-62,-17
-4,-21,3,-5,55,51,59,65,8,-34,-56,-8
-3,-21,3,-5,54,51,59,66,9,-31,-52,-8
-7,-28,-4,-7,58,51,57,70,2,-36,-63,-17
-4,-23,0,-4,56,52,58,69,6,-35,-61,-14
0,-12,10,-1,51,52,55,62,10,-27,-45,-3
0,-11,12,-3,50,50,57,61,14,-25,-38,1
-1,-11,11,-4,48,49,57,57,18,-18,-34,2
0,-12,9,-5,46,46,52,56,15,-17,-28,4
-2,-13,9,-6,47,48,56,56,14,-16,-34,1
-1,-13,11,-2,50,50,57,60,15,-21,-37,1
-2,-12,11,-4,48,50,58,60,18,-15,-34,1
-8,-19,4,-10,45,48,58,56,21,-4,-27,4
-7,-18,7,-10,44,49,58,56,22,-1,-24,5
-7,-17,6,-10,44,49,60,57,24,-4,-25,8
-7,-17,6,-9,45,48,59,57,24,-2,-25,7
-7,-17,5,-9,44,48,59,57,24,-2,-24,8
-8,-17,5,-10,43,49,58,58,24,-1,-25,8
-7,-17,6,-11,43,50,59,56,23,-5,-21,7
-6,-17,7,-9,46,49,60,57,24,-2,-21,8
-8,-16,6,-9,44,50,61,59,23,0,-23,9
-7,-16,7,-9,45,50,60,58,23,-1,-22,8
-7,-16,7,-9,45,51,61,57,24,-4,-22,5
-8,-16,6,-8,44,49,61,59,24,-2,-22,7
-5,-17,8,-9,44,49,62,58,25,-2,-23,11
-6,-17,8,-9,46,50,60,58,23,-2,-22,9
-7,-16,6,-8,44,51,59,59,22,-2,-24,8
-6,-17,7,-9,45,49,60,59,24,-2,-22,7
-8,-17,6,-9,44,50,60,58,24,-2,-24,7
-5,-15,7,-9,44,50,59,58,25,-2,-23,7
-7,-16,8,-7,44,50,60,58,24,-2,-22,7
-5,-17,7,-9,45,49,61,58,25,-2,-23,7
-7,-16,7,-9,45,50,59,58,23,-1,-23,7
-7,-17,7,-9,45,50,60,58,23,-4,-23,8
-7,-17,7,-9,44,50,60,58,24,0,-22,9
-6,-16,7,-9,44,49,60,58,22,-1,-25,8
-6,-15,6,-9,46,50,61,58,24,-1,-24,7
-7,-17,7,-9,45,51,60,59,24,-2,-24,8
-7,-17,8,-7,44,50,60,57,24,-1,-22,8
-7,-16,7,-8,44,49,59,58,24,-3,-24,9
-7,-17,7,-9,44,50,60,58,25,-2,-22,7
-7,-17,6,-9,45,50,60,57,23,-2,-24,8
-6,-17,7,-8,44,50,60,58,25,-1,-23,7
-7,-16,6,-9,44,50,60,56,24,-2,-24,7
-7,-17,6,-9,44,50,61,57,22,-2,-24,6
-8,-17,5,-9,44,51,59,58,23,-1,-22,8
-8,-17,7,-10,44,48,59,58,23,-3,-25,7
-7,-16,8,-9,45,48,60,57,22,-3,-26,5
-7,-16,7,-9,45,49,60,58,22,-4,-22,6
-7,-17,6,-9,44,49,60,58,22,-4,-27,7
-8,-17,7,-10,44,50,60,58,22,-4,-25,7
-8,-18,5,-10,45,50,59,59,22,-2,-25,7
-9,-19,5,-10,44,50,58,57,22,-4,-24,4
-8,-18,5,-11,43,48,58,57,19,-8,-28,5
-9,-17,4,-11,43,48,59,57,19,-7,-26,4
-9,-19,5,-10,45,49,59,57,23,-4,-25,5
-8,-18,5,-9,44,49,59,57,20,-6,-26,5
-8,-17,6,-10,43,48,58,57,20,-4,-27,1
-7,-17,6,-10,44,49,59,57,19,-6,-28,4
-8,-16,6,-9,44,49,60,57,23,-5,-27,4
-8,-15,5,-10,44,50,58,57,23,-5,-25,5
-7,-17,6,-9,44,49,60,57,20,-7,-25,4
-7,-16,8,-9,44,48,58,57,19,-4,-27,4
-6,-15,6,-9,44,48,59,57,21,-7,-27,4
-8,-16,7,-9,43,49,58,57,20,-3,-25,5
-6,-17,8,-9,44,49,58,56,19,-7,-27,4
-6,-17,8,-9,44,49,59,57,21,-4,-27,4
-6,-16,8,-7,44,48,59,58,22,-5,-26,6
-7,-15,8,-9,45,48,59,58,20,-6,-27,5
-7,-16,7,-8,43,49,59,56,21,-7,-29,5
-7,-17,8,-8,44,48,58,56,19,-9,-28,2
-6,-16,6,-9,43,46,58,56,19,-8,-28,4
-6,-16,7,-8,43,47,57,57,21,-7,-28,3
-6,-15,8,-8,44,47,58,55,18,-6,-29,4
-6,-15,7,-8,44,48,58,56,19,-7,-28,3
-6,-14,7,-9,42,49,58,58,19,-4,-26,3
-5,-16,9,-9,43,49,57,56,21,-7,-27,5
-7,-15,7,-8,44,49,58,57,19,-6,-27,5
-5,-15,8,-8,44,49,59,57,22,-5,-26,5
-4,-15,9,-7,44,49,58,57,21,-4,-25,5
-5,-14,9,-7,43,49,59,58,23,-4,-23,6
-6,-15,8,-9,45,50,61,57,25,0,-21,9
-8,-17,5,-11,46,52,62,58,29,1,-20,11
-8,-18,5,-10,45,49,61,58,25,0,-19,8
-8,-16,6,-11,45,50,60,58,27,1,-22,10
-9,-18,5,-10,45,51,59,58,25,0,-22,11
-9,-17,4,-11,46,49,60,58,26,-1,-21,7
-9,-18,6,-11,44,50,59,57,27,-3,-20,8
-9,-18,4,-9,45,49,60,57,25,-1,-20,7
-9,-17,5,-11,44,50,60,58,24,-1,-21,9
-8,-18,5,-11,44,51,60,58,24,0,-22,8
