x1,x2,x3,x4,y1,y2,y3,y4,z1,z2,z3,z4
-7,-17,4,-9,41,47,59,56,24,-4,-23,7
-8,-17,6,-8,43,47,57,56,18,-8,-25,4
-5,-15,7,-9,42,47,57,56,19,-7,-25,3
-6,-16,7,-10,44,47,58,56,21,-7,-24,5
-7,-17,6,-10,44,48,57,56,21,-6,-23,6
-6,-15,6,-9,44,48,57,56,21,-4,-24,7
-7,-17,6,-10,43,47,57,56,21,-4,-24,7
-7,-16,7,-9,42,47,57,56,20,-5,-23,7
-5,-17,6,-9,43,46,58,56,20,-5,-25,4
-7,-16,5,-11,44,48,58,56,21,-7,-25,5
-8,-16,6,-9,44,49,59,57,20,-5,-21,8
-7,-17,4,-9,45,49,59,56,20,-3,-25,5
-8,-16,6,-11,43,49,58,57,23,-4,-24,8
-6,-18,5,-9,44,48,59,57,21,-4,-25,8
-7,-17,6,-10,44,49,58,57,22,-5,-25,7
-7,-17,5,-9,45,49,59,57,22,-4,-24,6
-4,-18,4,-8,49,48,54,59,13,-24,-39,-3
-9,-23,-8,-14,38,28,39,51,11,-10,-20,0
-5,-21,-5,-12,41,31,46,53,13,-12,-21,2
-4,-20,-4,-10,42,32,45,55,12,-12,-25,-1
-3,-20,-4,-11,42,33,47,54,11,-13,-24,0
-4,-21,-3,-10,41,32,46,53,11,-12,-24,1
-4,-20,-3,-10,42,33,45,53,12,-13,-24,1
-5,-21,-4,-10,41,33,45,53,14,-12,-24,1
-6,-21,-5,-13,38,29,45,52,17,-5,-15,7
-6,-20,-5,-12,38,30,43,52,17,-6,-19,6
-4,-20,-5,-13,40,30,46,52,18,-7,-20,5
-3,-20,-4,-10,42,33,47,54,15,-14,-23,2
-1,-13,10,-4,46,47,58,58,22,-5,-21,9
-6,-16,6,-10,44,46,59,57,26,0,-18,10
-5,-16,5,-10,43,47,59,58,25,0,-18,8
-6,-16,6,-10,42,47,58,57,24,0,-21,11
-7,-17,6,-9,43,47,58,56,26,-1,-18,10
-5,-15,6,-9,44,47,58,58,25,0,-18,11
-5,-16,7,-9,45,47,58,58,25,0,-19,9
-6,-16,5,-10,43,46,59,58,25,0,-17,9
-5,-17,6,-8,43,46,59,57,24,0,-18,12
0,-15,7,-2,48,40,48,58,7,-25,-36,-5
-6,-23,-5,-12,40,30,43,53,11,-13,-24,0
-6,-22,-6,-13,41,28,41,51,9,-13,-19,0
-6,-23,-6,-13,40,28,41,50,11,-12,-24,0
-6,-22,-6,-13,39,27,40,49,9,-12,-20,0
-3,-21,-3,-9,43,30,40,53,5,-21,-29,-4
-5,-22,-5,-11,42,28,39,52,8,-17,-25,-4
-5,-20,-6,-12,39,28,39,51,11,-14,-24,0
-5,-21,-4,-13,41,28,38,49,11,-14,-21,0
-4,-21,-6,-13,40,27,39,49,9,-12,-19,0
-6,-22,-7,-11,39,28,39,50,10,-14,-19,1
-5,-20,-6,-12,40,28,40,50,11,-12,-18,1
-2,-16,7,-6,46,45,56,58,22,-7,-24,6
-5,-15,6,-9,42,46,58,56,27,0,-17,12
-3,-15,6,-10,42,45,57,57,27,2,-16,11
-4,-15,5,-9,42,45,58,56,27,1,-18,11
-4,-15,7,-9,41,45,58,56,25,0,-16,12
-5,-16,7,-9,42,45,59,56,27,1,-16,14
-4,-16,7,-9,43,45,59,56,28,3,-15,12
-4,-15,6,-9,43,45,58,57,25,1,-14,11
-3,-15,6,-9,43,45,58,56,27,0,-17,13
-4,-15,6,-10,43,46,59,57,27,1,-17,12
-2,-19,1,-6,47,39,49,58,12,-18,-32,-1
-3,-21,-6,-10,39,27,38,51,11,-14,-19,0
-4,-21,-6,-11,39,26,37,50,9,-13,-20,0
-5,-21,-6,-12,40,27,39,51,9,-15,-25,-2
-5,-21,-6,-11,41,29,41,53,8,-15,-25,-5
-5,-22,-6,-12,43,29,41,54,9,-16,-27,-3
-3,-21,-5,-10,44,31,41,55,7,-18,-29,-3
-2,-20,-4,-8,45,32,42,54,7,-21,-30,-4
-3,-21,-3,-8,45,32,42,54,5,-22,-29,-2
-1,-19,-4,-9,45,33,43,55,7,-21,-30,-5
-2,-20,-2,-8,45,33,42,54,7,-21,-32,-4
-3,-18,8,-3,51,50,57,61,14,-17,-36,-1
-4,-15,6,-9,43,47,59,57,29,1,-15,14
-5,-15,7,-9,43,46,61,55,26,2,-15,13
-5,-14,6,-9,42,46,59,57,28,2,-16,13
-6,-15,5,-9,43,45,60,58,29,4,-15,11
-4,-15,6,-10,43,46,58,57,27,3,-16,11
-5,-16,7,-9,42,46,59,57,29,2,-15,14
-4,-14,6,-8,43,46,59,57,28,5,-15,14
-5,-14,7,-8,43,47,60,57,28,2,-15,13
-5,-15,7,-9,41,46,59,57,27,0,-15,13
-3,-13,10,-3,52,52,57,60,4,-36,-49,-7
-3,-21,-5,-9,40,27,40,51,10,-14,-21,0
-4,-21,-5,-10,38,26,38,49,9,-14,-18,0
-4,-20,-3,-10,39,28,38,50,9,-13,-21,1
-5,-22,-6,-11,39,28,39,51,8,-15,-24,0
-4,-22,-6,-11,40,27,38,51,10,-14,-21,-1
-3,-21,-5,-12,40,26,39,50,12,-14,-21,1
-4,-21,-5,-11,40,28,38,50,8,-14,-20,1
-3,-20,-4,-11,39,28,38,50,9,-15,-21,0
-4,-20,-5,-10,40,27,39,51,8,-15,-21,0
-7,-23,-6,-11,44,32,43,55,6,-19,-33,-7
-3,-17,9,-2,51,51,59,62,16,-12,-37,0
-5,-15,4,-9,43,47,61,58,29,5,-13,15
-5,-15,7,-9,43,47,61,57,27,5,-15,15
-6,-15,6,-9,43,48,61,57,28,5,-15,13
-6,-15,5,-10,43,47,61,57,28,4,-15,14
-5,-16,6,-10,43,47,61,58,28,3,-16,14
-6,-15,5,-10,43,47,60,58,27,5,-16,15
-5,-17,7,-8,44,47,61,58,28,5,-15,13
-5,-17,6,-8,43,47,61,57,28,3,-17,12
-3,-18,3,-7,47,42,52,58,14,-19,-29,0
-4,-20,-4,-11,39,27,40,49,11,-11,-18,4
-3,-20,-6,-11,38,26,37,49,9,-14,-20,-2
-3,-20,-6,-10,39,26,38,50,8,-15,-21,0
-3,-20,-5,-9,42,29,40,52,10,-15,-24,0
-3,-19,-4,-11,42,29,40,52,9,-17,-26,0
-3,-20,-4,-9,43,30,40,54,9,-18,-27,-1
-2,-20,-2,-8,44,31,41,53,7,-21,-30,-5
-3,-20,-2,-8,45,30,42,53,7,-20,-30,-5
-3,-19,-1,-7,45,33,42,55,6,-22,-31,-4
-1,-19,-2,-7,46,35,42,55,5,-24,-31,-4
-2,-20,0,-8,46,33,41,56,5,-23,-33,-4
-2,-20,-1,-6,46,34,43,56,7,-25,-31,-5
-1,-19,0,-6,47,37,45,56,7,-24,-34,-3
-1,-18,2,-3,49,38,47,56,7,-26,-36,-7
0,-18,0,-4,49,38,46,58,9,-22,-34,-5
-2,-18,1,-7,47,38,45,57,9,-22,-33,-4
-1,-18,1,-6,48,37,45,57,9,-24,-35,-7
-2,-20,1,-5,47,37,45,56,6,-23,-36,-4
-2,-19,1,-5,48,38,47,56,8,-24,-36,-5
-2,-18,0,-6,49,37,46,58,8,-23,-36,-4
-1,-19,2,-5,48,37,45,56,7,-25,-38,-7
3,-13,10,0,50,44,49,59,5,-31,-44,-5
2,-11,10,0,50,44,49,58,7,-32,-41,-4
2,-10,11,0,53,48,50,60,12,-24,-39,0
1,-12,11,-1,50,47,52,60,10,-28,-41,0
0,-12,9,-2,50,48,52,61,11,-28,-40,0
0,-13,10,-2,51,48,51,60,9,-27,-41,-2
0,-12,10,-3,51,48,53,60,11,-28,-41,-2
0,-13,9,-2,52,47,51,59,11,-25,-41,-2
-2,-13,9,-4,50,47,52,58,10,-29,-40,-1
0,-16,8,-3,49,47,51,58,10,-28,-39,-2
-2,-14,9,-4,49,46,52,57,12,-28,-41,-1
-1,-13,8,-6,44,44,53,56,18,-14,-27,5
-3,-15,6,-6,46,45,52,57,14,-19,-33,2
-8,-20,4,-9,45,47,55,56,14,-11,-32,1
-11,-21,0,-14,42,45,58,56,18,-4,-24,6
-9,-18,2,-12,40,44,56,55,19,-5,-22,5
-8,-18,3,-11,40,44,55,54,20,-4,-24,5
-7,-17,4,-10,41,44,56,55,19,-2,-22,7
-8,-16,3,-9,40,44,57,56,24,-2,-21,7
-6,-16,3,-10,41,45,57,56,21,-4,-21,7
-7,-17,5,-10,41,44,56,55,22,-2,-22,7
-6,-16,6,-10,41,43,56,54,21,-1,-19,9
-5,-16,5,-10,43,43,56,56,22,-3,-22,7
-6,-16,5,-10,41,45,57,54,22,-2,-19,8
-7,-15,4,-9,41,44,56,55,21,-3,-21,7
-6,-17,5,-10,41,44,56,55,22,-1,-21,8
-5,-15,5,-10,41,44,57,55,23,-4,-21,8
-6,-15,5,-9,41,45,57,55,21,-2,-22,7
-5,-15,5,-9,41,45,56,55,24,-3,-19,7
-5,-15,6,-9,42,44,56,55,22,-1,-21,8
-5,-14,7,-8,41,45,57,55,22,-1,-21,8
-5,-15,6,-8,43,45,56,56,24,-1,-21,7
-5,-14,7,-7,42,45,57,56,21,-1,-20,7
-6,-15,6,-8,42,45,57,55,22,-4,-20,10
-3,-14,6,-8,42,44,56,56,21,-3,-22,6
-5,-15,7,-9,42,46,57,56,24,-2,-22,8
-5,-14,6,-9,42,44,56,56,21,-3,-21,7
-4,-14,7,-8,42,45,57,55,22,-1,-22,9
-3,-13,8,-10,40,45,57,55,23,-2,-19,9
-3,-15,7,-8,42,44,57,55,24,-3,-20,7
-4,-14,7,-9,43,46,58,56,21,-2,-19,8
-4,-14,8,-9,42,45,57,55,23,-2,-20,8
-5,-14,8,-9,42,45,57,56,24,-2,-19,9
-4,-16,6,-8,41,45,56,56,23,-3,-22,9
-5,-15,7,-9,43,44,56,54,22,-3,-23,8
-4,-15,7,-9,42,44,58,56,21,-3,-21,5
-4,-15,6,-8,42,45,56,55,22,-2,-20,8
-4,-13,6,-8,41,46,57,55,21,-3,-21,9
-5,-13,5,-8,43,45,58,56,22,-5,-21,8
-3,-14,7,-9,42,45,57,56,22,-3,-20,7
-6,-15,6,-9,42,46,58,56,21,-4,-24,7
-5,-15,7,-8,42,45,58,56,22,-2,-21,8
-3,-14,7,-8,41,44,56,56,21,-5,-25,7
-4,-14,7,-7,40,45,56,55,19,-5,-24,7
-5,-13,7,-8,41,47,59,57,24,-1,-18,11
-6,-17,5,-10,45,47,58,56,26,0,-17,11
-8,-17,3,-11,44,47,60,57,24,-2,-18,8
-7,-17,5,-10,43,46,59,58,26,1,-19,9
-7,-18,4,-11,42,46,59,56,24,0,-18,10
-8,-18,5,-11,43,46,59,57,27,0,-18,11
-8,-18,3,-11,44,46,59,56,24,-1,-19,7
