x1,x2,x3,x4,y1,y2,y3,y4,z1,z2,z3,z4
0,-18,0,-3,46,34,40,53,6,-22,-31,-5
0,-17,0,-5,46,32,41,53,5,-21,-32,-6
0,-18,1,-3,47,35,41,55,8,-23,-32,-6
1,-16,3,-2,50,37,43,56,2,-27,-36,-6
1,-18,4,-1,51,37,43,57,5,-26,-35,-7
2,-18,3,0,53,41,46,58,3,-28,-44,-8
0,-18,9,0,59,55,55,66,8,-29,-50,-8
0,-7,13,-3,42,47,59,56,31,3,-9,19
1,-5,15,-3,41,47,59,55,32,6,-8,19
2,-5,15,-3,42,46,61,56,34,5,-8,22
2,-6,14,-2,43,47,61,56,32,5,-8,22
0,-8,11,-5,41,47,61,56,35,9,-7,19
25,16,42,20,56,49,42,55,1,-56,-42,1
40,31,45,26,44,24,21,41,-12,-64,-35,0
38,29,45,26,48,32,25,45,-9,-65,-40,0
32,26,41,22,50,37,33,48,0,-56,-37,2
10,-3,27,11,63,60,57,65,8,-41,-58,-7
0,-8,12,-6,44,53,69,60,39,14,-8,23
1,-7,14,-4,43,51,68,59,39,12,-7,22
0,-7,14,-5,43,51,67,59,38,11,-7,24
0,-6,13,-6,42,51,67,59,39,12,-8,24
-2,-11,8,-10,41,49,69,59,44,22,-1,23
13,-6,17,9,52,34,34,53,-9,-47,-48,-12
31,11,30,21,46,23,23,44,-16,-60,-41,-11
28,8,29,20,51,28,27,47,-21,-66,-51,-13
32,9,31,24,48,24,21,45,-29,-76,-53,-18
28,6,29,24,54,32,26,49,-28,-75,-61,-22
7,-7,21,8,59,57,57,65,17,-23,-39,1
7,-2,18,1,42,40,52,53,25,-8,-14,15
8,-1,18,1,42,43,53,53,23,-7,-14,18
9,0,18,2,42,42,51,53,22,-8,-12,17
8,-2,18,2,41,42,52,52,24,-7,-12,15
0,-8,10,-2,42,41,56,56,22,-7,-24,8
40,19,38,31,46,18,16,39,-32,-85,-52,-16
39,18,38,30,45,19,17,40,-29,-81,-51,-14
38,17,37,28,49,25,22,46,-26,-79,-54,-15
33,12,34,25,53,27,25,47,-25,-77,-58,-17
15,0,31,19,68,60,51,66,-2,-58,-69,-14
0,-7,13,-6,41,47,63,56,36,11,-5,22
0,-8,12,-4,42,49,64,57,36,9,-6,22
0,-8,13,-7,41,47,64,57,38,11,-5,22
0,-6,12,-5,42,48,62,56,34,12,-7,22
-4,-12,5,-9,41,47,64,59,38,17,-9,18
38,19,34,26,41,16,16,39,-24,-70,-43,-8
41,20,34,27,35,6,10,34,-28,-70,-39,-7
40,19,37,28,45,16,17,41,-29,-79,-49,-13
38,14,37,32,54,26,20,47,-34,-92,-65,-22
3,-14,17,5,62,63,63,71,18,-24,-49,-5
3,-7,16,-2,45,49,65,59,34,1,-12,21
2,-5,15,-2,43,50,66,58,34,7,-12,23
2,-5,14,-4,43,50,65,59,34,5,-13,22
2,-5,17,-1,44,52,64,60,32,2,-14,22
1,-7,16,-3,44,50,65,60,37,7,-11,21
42,21,41,33,47,15,14,40,-34,-83,-48,-11
43,22,31,23,25,-3,8,29,-19,-55,-23,1
48,28,39,32,37,4,9,33,-35,-83,-45,-10
40,20,43,33,60,34,25,50,-31,-95,-66,-19
6,-9,17,4,54,53,55,63,15,-25,-39,0
4,-4,16,0,42,46,58,56,29,0,-12,18
4,-5,15,-2,40,46,60,54,29,4,-9,21
2,-5,15,-2,42,47,58,56,31,2,-10,21
5,-6,14,-1,43,44,59,56,31,1,-10,19
4,-5,15,-2,42,45,59,56,30,0,-10,20
18,1,26,14,59,43,38,58,-11,-61,-56,-14
33,19,35,22,49,28,28,48,-12,-63,-40,-4
34,17,35,23,53,31,27,50,-17,-71,-49,-8
27,9,34,23,60,43,35,56,-12,-76,-62,-16
9,-7,20,7,57,54,55,62,13,-28,-43,0
-1,-10,10,-7,42,48,61,57,33,8,-9,19
0,-8,13,-5,40,47,61,56,36,9,-7,23
1,-5,13,-5,42,47,62,57,34,9,-8,22
0,-7,12,-5,41,47,61,56,34,8,-8,22
0,-8,13,-4,41,47,62,57,34,9,-7,21
9,-8,18,9,63,49,44,61,-5,-55,-60,-15
23,5,27,19,56,35,31,52,-16,-65,-54,-15
15,-4,20,13,59,41,37,57,-13,-57,-55,-18
14,-5,19,12,60,42,37,57,-11,-58,-56,-19
13,-6,19,12,61,43,38,58,-11,-57,-59,-20
10,-10,14,8,58,45,41,59,-7,-50,-56,-17
8,-11,11,5,56,42,42,59,-4,-46,-54,-15
4,-15,5,0,52,38,42,57,2,-34,-44,-9
2,-18,4,0,51,38,43,57,1,-30,-39,-9
0,-18,1,-2,50,37,45,57,5,-27,-39,-9
0,-18,0,-3,50,38,44,57,5,-27,-39,-9
0,-18,0,-3,48,37,45,57,4,-26,-36,-8
0,-18,0,-4,49,36,45,57,7,-23,-36,-7
0,-19,2,-3,51,40,45,59,3,-32,-44,-12
1,-18,3,-1,54,42,47,60,4,-31,-44,-11
0,-19,2,-2,53,45,50,62,8,-27,-44,-8
1,-18,5,-1,54,45,49,62,9,-28,-46,-8
1,-16,5,-1,53,43,50,61,8,-27,-44,-8
1,-16,4,0,54,46,48,61,8,-29,-43,-7
1,-17,5,-1,52,43,49,62,8,-28,-43,-8
2,-18,4,0,53,43,49,60,8,-27,-40,-7
0,-17,3,-4,50,40,50,59,12,-19,-33,0
0,-17,1,-5,47,38,49,56,15,-16,-30,0
0,-16,2,-5,44,36,47,55,15,-14,-27,2
1,-10,7,-1,41,37,47,53,14,-17,-25,3
3,-9,11,-1,46,43,50,55,14,-18,-30,3
1,-9,14,-2,47,48,55,57,17,-18,-32,2
-9,-21,4,-8,50,51,57,59,15,-12,-36,-1
-8,-20,3,-10,44,49,59,57,24,-1,-22,8
-6,-16,7,-10,42,47,59,56,28,2,-19,9
-7,-15,6,-9,43,47,60,56,27,2,-16,11
-5,-16,5,-10,42,48,59,56,27,3,-18,11
-6,-16,7,-9,44,48,60,56,27,5,-17,9
-6,-16,7,-10,43,48,60,56,27,2,-18,9
-5,-15,6,-10,42,48,59,57,27,2,-18,11
-5,-15,6,-9,44,47,60,57,28,2,-18,9
-5,-15,7,-9,43,47,60,57,29,2,-17,11
-5,-16,7,-9,43,47,59,56,28,1,-17,14
-5,-16,6,-9,42,47,61,57,28,1,-17,13
-5,-14,7,-8,41,47,60,56,28,2,-17,12
-5,-16,8,-9,42,47,60,57,28,2,-19,12
-5,-16,6,-9,43,47,59,56,28,1,-18,11
